SSB検証 N=9 den=9 M=36  床H⊥/H=3.26e-32  −2π/N=-0.698132
seed lock_step     H⊥/H     amp比          Δ   |Δ+2π/N|
   0       160   0.1039   1.0021  -0.698134    2.1e-06
   1       120   0.1182   1.0013  -0.698133    1.0e-06
   2       120   0.1182   1.0015  -0.698133    1.4e-06
   3       100   0.1035   1.0040  -0.698139    7.4e-06
   4       140   0.1158   1.0028  -0.698135    3.8e-06
   5       120   0.1047   1.0023  -0.698135    3.8e-06
   6       100   0.1042   1.0031  -0.698137    5.6e-06
   7       100   0.1487   1.0006  -0.698132    2.5e-07
   8       120   0.1060   1.0012  -0.698133    8.8e-07
   9       100   0.1194   1.0018  -0.698134    1.9e-06
  10       100   0.1350   1.0009  -0.698132    5.7e-07
  11       140   0.1238   1.0026  -0.698135    3.6e-06
  12       140   0.1046   1.0010  -0.698132    6.3e-07
  13       120   0.1057   1.0014  -0.698133    1.4e-06
  14       100   0.1288   1.0039  -0.698140    8.8e-06
  15       120   0.1046   1.0015  -0.698133    1.6e-06
  16       100   0.1205   1.0020  -0.698134    2.2e-06
  17       120   0.1166   1.0018  -0.698134    2.4e-06
  18       100   0.1226   1.0008  -0.698132    2.8e-07
  19       120   0.1175   1.0028  -0.698137    5.7e-06
  20       120   0.1008   1.0017  -0.698133    1.2e-06
  21       120   0.1229   1.0015  -0.698133    1.1e-06
  22       100   0.1170   1.0021  -0.698134    2.8e-06
  23       120   0.1132   1.0009  -0.698132    3.5e-07
  24       100   0.1210   1.0008  -0.698132    4.4e-07
  25       120   0.1138   1.0009  -0.698132    4.0e-07
  26       120   0.1206   1.0018  -0.698134    2.1e-06
  27       120   0.1228   1.0007  -0.698132    2.9e-07
  28       100   0.1215   1.0024  -0.698136    4.7e-06
  29       100   0.1106   1.0030  -0.698136    4.4e-06
  30       140   0.1156   1.0013  -0.698133    9.5e-07
  31       140   0.1278   1.0012  -0.698132    7.6e-07
  32       100   0.1185   1.0006  -0.698132    1.2e-07
  33       120   0.1151   1.0016  -0.698133    1.4e-06
  34       100   0.1184   1.0018  -0.698134    2.0e-06
  35       100   0.1220   1.0012  -0.698132    5.9e-07
  36       120   0.1298   1.0037  -0.698139    7.4e-06
  37       120   0.1087   1.0009  -0.698132    4.9e-07
  38       100   0.1124   1.0015  -0.698133    1.0e-06
  39       120   0.1281   1.0004  -0.698132    7.9e-08
  40       100   0.1229   1.0005  -0.698132    1.9e-07
  41       120   0.1064   1.0012  -0.698132    8.0e-07
  42       120   0.1168   1.0019  -0.698134    1.9e-06
  43       100   0.1180   1.0022  -0.698135    2.9e-06
  44       120   0.1074   1.0014  -0.698133    1.2e-06
  45       100   0.1116   1.0027  -0.698135    3.4e-06
  46       100   0.1036   1.0037  -0.698138    5.9e-06
  47       120   0.1015   1.0010  -0.698132    6.6e-07
  48       100   0.1215   1.0025  -0.698135    3.4e-06
  49       160   0.1259   1.0007  -0.698132    3.2e-07
真空の向き(相対位相配置)のシード間差[deg] 中央=11.8 最大=176.5
判定: inflation全シード=True 等振幅=True Δ=−2π/N=True 真空相異=True  → SSB=確認
