SSB検証 N=12 den=12 M=66  床H⊥/H=6.91e-32  −2π/N=-0.523599
seed lock_step     H⊥/H     amp比          Δ   |Δ+2π/N|
   0       140   0.0956   1.0018  -0.523599    6.4e-07
   1       140   0.0889   1.0006  -0.523599    1.4e-07
   2       140   0.0887   1.0006  -0.523599    2.2e-07
   3       120   0.0962   1.0027  -0.523602    3.6e-06
   4       140   0.0861   1.0008  -0.523599    2.3e-07
   5       140   0.0963   1.0014  -0.523599    5.6e-07
   6       140   0.0927   1.0012  -0.523599    6.4e-07
   7       140   0.0942   1.0012  -0.523599    4.9e-07
   8       160   0.1130   1.0004  -0.523599    5.6e-08
   9       140   0.0890   1.0012  -0.523600    9.0e-07
  10       120   0.0860   1.0037  -0.523602    3.6e-06
  11       140   0.0891   1.0005  -0.523599    1.2e-07
  12       120   0.0855   1.0041  -0.523603    4.4e-06
  13       120   0.0997   1.0041  -0.523604    5.7e-06
  14       140   0.0889   1.0009  -0.523599    4.2e-07
  15       140   0.0969   1.0017  -0.523599    7.0e-07
  16       140   0.0906   1.0005  -0.523599    1.1e-07
  17       140   0.0898   1.0006  -0.523599    1.8e-07
  18       140   0.0854   1.0007  -0.523599    2.4e-07
  19       140   0.0941   1.0008  -0.523599    3.1e-07
  20       140   0.0899   1.0011  -0.523599    4.6e-07
  21       140   0.0897   1.0011  -0.523599    5.3e-07
  22       140   0.0881   1.0007  -0.523599    1.8e-07
  23       140   0.0976   1.0010  -0.523599    1.9e-07
  24       140   0.0924   1.0006  -0.523599    1.8e-07
  25       140   0.0932   1.0014  -0.523599    6.4e-07
  26       140   0.0956   1.0007  -0.523599    2.5e-07
  27       140   0.1024   1.0014  -0.523600    8.1e-07
  28       160   0.0999   1.0005  -0.523599    4.9e-08
  29       140   0.0883   1.0006  -0.523599    1.4e-07
  30       140   0.0989   1.0012  -0.523599    4.6e-07
  31       160   0.0913   1.0003  -0.523599    3.9e-08
  32       140   0.1008   1.0012  -0.523599    4.3e-07
  33       140   0.0897   1.0006  -0.523599    1.8e-07
  34       140   0.0882   1.0005  -0.523599    2.0e-07
  35       140   0.0883   1.0007  -0.523599    1.9e-07
  36       140   0.0916   1.0011  -0.523599    4.0e-07
  37       140   0.0867   1.0013  -0.523599    7.1e-07
  38       120   0.0885   1.0018  -0.523600    1.4e-06
  39       140   0.0898   1.0006  -0.523599    1.5e-07
  40       140   0.0957   1.0012  -0.523599    6.5e-07
  41       140   0.0914   1.0006  -0.523599    2.1e-07
  42       140   0.0892   1.0007  -0.523599    1.8e-07
  43       120   0.0978   1.0040  -0.523604    5.4e-06
  44       140   0.0925   1.0007  -0.523599    2.4e-07
  45       140   0.1050   1.0016  -0.523600    9.9e-07
  46       140   0.0897   1.0006  -0.523599    1.2e-07
  47       140   0.0953   1.0018  -0.523600    1.0e-06
  48       140   0.0951   1.0012  -0.523599    3.6e-07
  49       120   0.0950   1.0041  -0.523602    3.5e-06
真空の向き(相対位相配置)のシード間差[deg] 中央=10.0 最大=125.4
判定: inflation全シード=True 等振幅=True Δ=−2π/N=True 真空相異=True  → SSB=確認
