SSB検証 N=20 den=20 M=190  床H⊥/H=1.53e-31  −2π/N=-0.314159
seed lock_step     H⊥/H     amp比          Δ   |Δ+2π/N|
   0       220   0.0865   1.0041  -0.314164    4.3e-06
   1       240   0.0824   1.0029  -0.314161    2.2e-06
   2       240   0.0993   1.0047  -0.314162    2.9e-06
   3       240   0.0978   1.0023  -0.314161    1.6e-06
   4       240   0.0917   1.0047  -0.314164    4.8e-06
   5       260   0.0936   1.0025  -0.314161    1.3e-06
   6       240   0.0846   1.0027  -0.314161    1.6e-06
   7       240   0.1045   1.0037  -0.314162    2.8e-06
   8       240   0.0888   1.0035  -0.314162    2.5e-06
   9       240   0.0918   1.0033  -0.314163    4.0e-06
  10       260   0.0923   1.0028  -0.314161    1.3e-06
  11       220   0.0891   1.0036  -0.314163    3.3e-06
  12       240   0.1077   1.0034  -0.314162    2.6e-06
  13       240   0.0850   1.0032  -0.314162    2.6e-06
  14       240   0.0903   1.0033  -0.314161    1.4e-06
  15       240   0.0854   1.0025  -0.314160    1.0e-06
  16       220   0.0852   1.0048  -0.314165    5.9e-06
  17       240   0.1026   1.0026  -0.314161    2.1e-06
  18       240   0.0892   1.0037  -0.314161    2.2e-06
  19       220   0.0897   1.0039  -0.314165    5.6e-06
  20       240   0.0976   1.0033  -0.314162    2.6e-06
  21       240   0.0925   1.0039  -0.314162    3.0e-06
  22       240   0.0927   1.0038  -0.314163    3.7e-06
  23       240   0.0962   1.0043  -0.314163    3.8e-06
  24       240   0.0862   1.0037  -0.314162    2.7e-06
  25       220   0.0861   1.0044  -0.314163    3.7e-06
  26       240   0.0910   1.0036  -0.314163    3.7e-06
  27       260   0.0846   1.0029  -0.314161    1.6e-06
  28       240   0.0907   1.0030  -0.314162    3.1e-06
  29       260   0.0858   1.0030  -0.314163    3.3e-06
  30       220   0.0956   1.0044  -0.314165    5.4e-06
  31       220   0.0954   1.0049  -0.314164    4.5e-06
  32       240   0.0878   1.0035  -0.314161    2.2e-06
  33       220   0.1031   1.0038  -0.314166    6.2e-06
  34       240   0.0867   1.0031  -0.314161    1.4e-06
  35       240   0.1018   1.0050  -0.314162    3.1e-06
  36       240   0.0912   1.0032  -0.314163    3.7e-06
  37       240   0.0833   1.0048  -0.314164    4.4e-06
  38       240   0.0863   1.0037  -0.314164    4.6e-06
  39       240   0.0931   1.0038  -0.314163    3.6e-06
  40       240   0.1078   1.0036  -0.314161    2.0e-06
  41       240   0.0893   1.0049  -0.314165    5.9e-06
  42       240   0.0928   1.0032  -0.314162    2.8e-06
  43       240   0.1021   1.0037  -0.314164    5.0e-06
  44       240   0.0794   1.0047  -0.314164    5.2e-06
  45       220   0.0867   1.0048  -0.314164    5.2e-06
  46       240   0.1044   1.0036  -0.314161    1.9e-06
  47       240   0.0988   1.0039  -0.314161    1.7e-06
  48       240   0.0907   1.0034  -0.314162    2.7e-06
  49       240   0.0914   1.0033  -0.314161    2.1e-06
真空の向き(相対位相配置)のシード間差[deg] 中央=10.1 最大=179.4
判定: inflation全シード=True 等振幅=True Δ=−2π/N=True 真空相異=True  → SSB=確認
