SSB検証 N=21 den=21 M=210  床H⊥/H=1.62e-31  −2π/N=-0.299199
seed lock_step     H⊥/H     amp比          Δ   |Δ+2π/N|
   0       220   0.1406   1.0038  -0.299202    2.8e-06
   1       220   0.1448   1.0035  -0.299201    2.0e-06
   2       240   0.1404   1.0034  -0.299202    2.5e-06
   3       240   0.1557   1.0035  -0.299202    3.0e-06
   4       220   0.1489   1.0037  -0.299205    5.7e-06
   5       220   0.1455   1.0047  -0.299203    3.3e-06
   6       220   0.1616   1.0041  -0.299204    4.7e-06
   7       240   0.1396   1.0038  -0.299202    2.8e-06
   8       240   0.1180   1.0048  -0.299206    6.9e-06
   9       260   0.1679   1.0033  -0.299200    9.4e-07
  10       220   0.1504   1.0039  -0.299203    3.8e-06
  11       200   0.1538   1.0046  -0.299204    4.5e-06
  12       220   0.1494   1.0047  -0.299203    3.5e-06
  13       240   0.1444   1.0037  -0.299203    3.6e-06
  14       240   0.1328   1.0030  -0.299202    2.8e-06
  15       200   0.1406   1.0048  -0.299204    4.3e-06
  16       240   0.1297   1.0043  -0.299204    4.3e-06
  17       200   0.1279   1.0043  -0.299206    6.6e-06
  18       200   0.1457   1.0049  -0.299205    6.0e-06
  19       220   0.1490   1.0043  -0.299205    5.5e-06
  20       220   0.1273   1.0034  -0.299202    2.8e-06
  21       240   0.1444   1.0032  -0.299201    2.1e-06
  22       240   0.1757   1.0040  -0.299204    4.3e-06
  23       220   0.1412   1.0033  -0.299202    3.2e-06
  24       220   0.1351   1.0037  -0.299202    2.9e-06
  25       220   0.1371   1.0040  -0.299202    2.8e-06
  26       240   0.1445   1.0034  -0.299203    3.8e-06
  27       240   0.1366   1.0021  -0.299200    8.2e-07
  28       200   0.1347   1.0043  -0.299205    5.8e-06
  29       220   0.1390   1.0040  -0.299203    3.6e-06
  30       200   0.1277   1.0046  -0.299206    6.5e-06
  31       200   0.1846   1.0044  -0.299204    4.6e-06
  32       220   0.1395   1.0025  -0.299201    2.2e-06
  33       220   0.1555   1.0040  -0.299205    6.0e-06
  34       240   0.1469   1.0026  -0.299201    2.1e-06
  35       220   0.1368   1.0029  -0.299203    3.2e-06
  36       240   0.1598   1.0035  -0.299203    4.1e-06
  37       240   0.1502   1.0034  -0.299202    3.0e-06
  38       240   0.1424   1.0036  -0.299204    4.7e-06
  39       220   0.1408   1.0047  -0.299205    5.2e-06
  40       240   0.1416   1.0037  -0.299203    3.8e-06
  41       240   0.1440   1.0026  -0.299201    1.8e-06
  42       220   0.1426   1.0039  -0.299204    5.1e-06
  43       240   0.1606   1.0028  -0.299202    2.3e-06
  44       240   0.1457   1.0031  -0.299202    3.2e-06
  45       220   0.1448   1.0032  -0.299202    3.0e-06
  46       220   0.1590   1.0036  -0.299204    4.7e-06
  47       220   0.1529   1.0047  -0.299206    6.7e-06
  48       240   0.1350   1.0041  -0.299205    5.4e-06
  49       220   0.1370   1.0034  -0.299201    2.2e-06
真空の向き(相対位相配置)のシード間差[deg] 中央=12.0 最大=179.4
判定: inflation全シード=True 等振幅=True Δ=−2π/N=True 真空相異=True  → SSB=確認
