SSB検証 N=13 den=13 M=78  床H⊥/H=5.75e-32  −2π/N=-0.483322
seed lock_step     H⊥/H     amp比          Δ   |Δ+2π/N|
   0       160   0.0562   1.0028  -0.483325    3.2e-06
   1       140   0.0661   1.0025  -0.483325    2.7e-06
   2       160   0.0585   1.0011  -0.483322    3.0e-07
   3       160   0.0630   1.0023  -0.483324    1.9e-06
   4       140   0.0572   1.0045  -0.483328    6.4e-06
   5       140   0.0605   1.0039  -0.483325    3.5e-06
   6       160   0.0574   1.0022  -0.483323    1.5e-06
   7       140   0.0575   1.0022  -0.483324    1.8e-06
   8       180   0.0839   1.0005  -0.483322    1.7e-07
   9       160   0.0570   1.0023  -0.483324    1.6e-06
  10       160   0.0612   1.0010  -0.483322    2.7e-07
  11       160   0.0579   1.0012  -0.483322    4.9e-07
  12       140   0.0588   1.0035  -0.483326    3.9e-06
  13       160   0.0589   1.0019  -0.483323    1.0e-06
  14       160   0.0581   1.0014  -0.483322    4.5e-07
  15       160   0.0627   1.0013  -0.483323    8.0e-07
  16       160   0.0583   1.0017  -0.483323    7.8e-07
  17       160   0.0626   1.0027  -0.483324    2.3e-06
  18       160   0.0578   1.0036  -0.483326    4.0e-06
  19       160   0.0595   1.0012  -0.483323    5.6e-07
  20       140   0.0594   1.0030  -0.483324    2.2e-06
  21       140   0.0572   1.0037  -0.483327    4.8e-06
  22       140   0.0610   1.0028  -0.483324    2.0e-06
  23       160   0.0630   1.0011  -0.483322    3.5e-07
  24       140   0.0593   1.0024  -0.483324    2.3e-06
  25       180   0.0558   1.0025  -0.483324    2.1e-06
  26       140   0.0619   1.0030  -0.483325    3.3e-06
  27       140   0.0608   1.0023  -0.483323    1.4e-06
  28       160   0.0590   1.0015  -0.483323    7.9e-07
  29       160   0.0571   1.0024  -0.483324    1.7e-06
  30       140   0.0617   1.0031  -0.483326    4.3e-06
  31       160   0.0613   1.0023  -0.483324    1.6e-06
  32       140   0.0601   1.0027  -0.483324    2.0e-06
  33       160   0.0602   1.0018  -0.483323    7.7e-07
  34       160   0.0595   1.0023  -0.483323    1.4e-06
  35       140   0.0661   1.0028  -0.483323    1.2e-06
  36       140   0.0649   1.0028  -0.483324    2.1e-06
  37       160   0.0647   1.0010  -0.483322    3.9e-07
  38       140   0.0599   1.0029  -0.483325    2.9e-06
  39       160   0.0602   1.0018  -0.483323    8.5e-07
  40       160   0.0736   1.0015  -0.483323    5.8e-07
  41       180   0.0746   1.0004  -0.483322    3.0e-08
  42       140   0.0605   1.0038  -0.483327    5.1e-06
  43       160   0.0584   1.0019  -0.483323    1.1e-06
  44       160   0.0575   1.0025  -0.483324    1.9e-06
  45       160   0.0697   1.0021  -0.483323    9.5e-07
  46       160   0.0540   1.0045  -0.483331    9.5e-06
  47       140   0.0598   1.0028  -0.483325    3.3e-06
  48       140   0.0584   1.0036  -0.483324    2.5e-06
  49       140   0.0606   1.0026  -0.483323    1.4e-06
真空の向き(相対位相配置)のシード間差[deg] 中央=24.3 最大=155.1
判定: inflation全シード=True 等振幅=True Δ=−2π/N=True 真空相異=True  → SSB=確認
