SSB検証 N=17 den=17 M=136  床H⊥/H=7.84e-32  −2π/N=-0.369599
seed lock_step     H⊥/H     amp比          Δ   |Δ+2π/N|
   0       180   0.0990   1.0039  -0.369603    3.4e-06
   1       200   0.1446   1.0037  -0.369602    2.7e-06
   2       180   0.1507   1.0029  -0.369602    2.5e-06
   3       180   0.1303   1.0045  -0.369603    3.7e-06
   4       200   0.1104   1.0022  -0.369601    2.0e-06
   5       200   0.1228   1.0027  -0.369601    2.3e-06
   6       160   0.1512   1.0050  -0.369606    7.3e-06
   7       180   0.1491   1.0029  -0.369602    2.4e-06
   8       180   0.1024   1.0049  -0.369604    4.6e-06
   9       180   0.1001   1.0036  -0.369602    2.8e-06
  10       180   0.1054   1.0032  -0.369603    4.0e-06
  11       180   0.1051   1.0026  -0.369601    1.4e-06
  12       180   0.1310   1.0029  -0.369601    1.8e-06
  13       180   0.1418   1.0040  -0.369603    3.5e-06
  14       180   0.1526   1.0041  -0.369602    3.2e-06
  15       200   0.1329   1.0017  -0.369600    1.3e-06
  16       180   0.1549   1.0041  -0.369602    2.9e-06
  17       200   0.1355   1.0021  -0.369600    8.5e-07
  18       180   0.1022   1.0035  -0.369602    3.0e-06
  19       180   0.1200   1.0036  -0.369603    4.3e-06
  20       200   0.0973   1.0022  -0.369601    1.6e-06
  21       180   0.1515   1.0028  -0.369601    2.0e-06
  22       180   0.0972   1.0031  -0.369602    2.4e-06
  23       220   0.0975   1.0010  -0.369599    2.2e-07
  24       180   0.1102   1.0025  -0.369602    2.4e-06
  25       180   0.1352   1.0037  -0.369602    2.6e-06
  26       180   0.1110   1.0026  -0.369601    2.1e-06
  27       200   0.1465   1.0018  -0.369600    5.5e-07
  28       180   0.1522   1.0030  -0.369601    2.3e-06
  29       200   0.1324   1.0030  -0.369601    1.8e-06
  30       200   0.1175   1.0018  -0.369600    8.1e-07
  31       180   0.1313   1.0029  -0.369602    2.5e-06
  32       180   0.1588   1.0033  -0.369602    3.1e-06
  33       180   0.1140   1.0040  -0.369602    2.8e-06
  34       200   0.1613   1.0017  -0.369600    5.7e-07
  35       180   0.1019   1.0029  -0.369603    3.7e-06
  36       180   0.1313   1.0039  -0.369605    5.9e-06
  37       200   0.1201   1.0020  -0.369600    8.3e-07
  38       180   0.1145   1.0037  -0.369602    2.5e-06
  39       180   0.1203   1.0039  -0.369603    4.1e-06
  40       180   0.1144   1.0029  -0.369603    3.5e-06
  41       200   0.1017   1.0030  -0.369600    1.3e-06
  42       200   0.1346   1.0016  -0.369600    6.5e-07
  43       160   0.1226   1.0048  -0.369604    5.4e-06
  44       180   0.1104   1.0035  -0.369602    2.5e-06
  45       200   0.1329   1.0019  -0.369600    7.4e-07
  46       180   0.1299   1.0032  -0.369601    1.8e-06
  47       180   0.1142   1.0042  -0.369604    5.2e-06
  48       180   0.1545   1.0035  -0.369602    3.3e-06
  49       180   0.1074   1.0038  -0.369602    3.0e-06
真空の向き(相対位相配置)のシード間差[deg] 中央=19.1 最大=174.5
判定: inflation全シード=True 等振幅=True Δ=−2π/N=True 真空相異=True  → SSB=確認
