SSB検証 N=7 den=7 M=21  床H⊥/H=3.25e-32  −2π/N=-0.897598
seed lock_step     H⊥/H     amp比          Δ   |Δ+2π/N|
   0       160   0.0866   1.0020  -0.897601    3.0e-06
   1       140   0.0912   1.0025  -0.897603    5.1e-06
   2       140   0.1088   1.0011  -0.897599    1.1e-06
   3       160   0.0837   1.0027  -0.897603    5.1e-06
   4       120   0.0987   1.0020  -0.897601    3.4e-06
   5       160   0.0814   1.0025  -0.897602    4.4e-06
   6       160   0.0830   1.0023  -0.897602    4.0e-06
   7       120   0.0880   1.0049  -0.897619    2.1e-05
   8       140   0.0860   1.0027  -0.897604    5.8e-06
   9       160   0.0864   1.0027  -0.897603    5.1e-06
  10       140   0.0933   1.0025  -0.897603    5.2e-06
  11       160   0.0859   1.0023  -0.897602    3.8e-06
  12       160   0.1228   1.0044  -0.897615    1.7e-05
  13       140   0.1038   1.0015  -0.897600    2.4e-06
  14       120   0.0882   1.0050  -0.897619    2.1e-05
  15       140   0.0851   1.0049  -0.897619    2.1e-05
  16       120   0.0929   1.0027  -0.897605    6.9e-06
  17       140   0.0858   1.0048  -0.897617    1.9e-05
  18       140   0.0887   1.0027  -0.897604    5.6e-06
  19       140   0.0874   1.0038  -0.897609    1.1e-05
  20       140   0.0890   1.0028  -0.897604    6.1e-06
  21       160   0.0873   1.0018  -0.897601    2.6e-06
  22       160   0.0899   1.0018  -0.897600    2.4e-06
  23       140   0.0837   1.0045  -0.897613    1.5e-05
  24       140   0.0849   1.0050  -0.897619    2.1e-05
  25       140   0.0822   1.0045  -0.897612    1.4e-05
  26       120   0.0888   1.0045  -0.897616    1.8e-05
  27       140   0.0914   1.0041  -0.897611    1.3e-05
  28       160   0.0846   1.0021  -0.897601    3.4e-06
  29       160   0.0828   1.0024  -0.897602    4.5e-06
  30       140   0.0855   1.0048  -0.897618    2.0e-05
  31       140   0.1209   1.0014  -0.897599    1.5e-06
  32       160   0.0889   1.0018  -0.897600    2.5e-06
  33       160   0.0895   1.0019  -0.897600    2.5e-06
  34       120   0.0950   1.0018  -0.897600    2.5e-06
  35       140   0.0858   1.0043  -0.897610    1.2e-05
  36       140   0.0856   1.0047  -0.897617    1.9e-05
  37       120   0.0969   1.0015  -0.897600    2.3e-06
  38       160   0.0856   1.0020  -0.897601    3.0e-06
  39       140   0.0906   1.0027  -0.897603    5.6e-06
  40       160   0.0870   1.0019  -0.897601    2.8e-06
  41       140   0.1198   1.0049  -0.897619    2.1e-05
  42       120   0.0960   1.0032  -0.897610    1.2e-05
  43       100   0.0933   1.0042  -0.897616    1.8e-05
  44       120   0.1021   1.0008  -0.897598    2.7e-07
  45       160   0.0833   1.0026  -0.897603    4.9e-06
  46       120   0.1211   1.0018  -0.897601    2.6e-06
  47       140   0.0872   1.0044  -0.897614    1.6e-05
  48       120   0.0925   1.0035  -0.897608    1.0e-05
  49       140   0.0854   1.0050  -0.897619    2.1e-05
真空の向き(相対位相配置)のシード間差[deg] 中央=14.2 最大=129.4
判定: inflation全シード=True 等振幅=True Δ=−2π/N=True 真空相異=True  → SSB=確認
