SSB検証 N=8 den=8 M=28  床H⊥/H=1.77e-33  −2π/N=-0.785398
seed lock_step     H⊥/H     amp比          Δ   |Δ+2π/N|
   0       120   0.1307   1.0014  -0.785399    7.8e-07
   1       120   0.1271   1.0003  -0.785398    8.8e-08
   2       120   0.1415   1.0003  -0.785398    7.1e-08
   3       120   0.1291   1.0005  -0.785398    2.9e-08
   4       120   0.1453   1.0005  -0.785398    3.6e-08
   5       120   0.1197   1.0006  -0.785398    2.0e-07
   6       140   0.1219   1.0003  -0.785398    1.2e-07
   7       120   0.1278   1.0005  -0.785398    2.3e-07
   8       120   0.1343   1.0001  -0.785398    6.6e-09
   9       120   0.1279   1.0002  -0.785398    2.9e-09
  10       120   0.1244   1.0006  -0.785398    2.4e-07
  11       140   0.1255   1.0003  -0.785398    8.0e-08
  12       120   0.1181   1.0002  -0.785398    1.9e-08
  13       120   0.1336   1.0009  -0.785398    3.1e-07
  14       120   0.1360   1.0002  -0.785398    3.0e-08
  15       120   0.1464   1.0002  -0.785398    2.9e-08
  16       120   0.1390   1.0009  -0.785398    1.1e-07
  17       120   0.1282   1.0002  -0.785398    3.0e-08
  18       120   0.1320   1.0001  -0.785398    6.6e-09
  19       140   0.1359   1.0001  -0.785398    8.5e-09
  20       120   0.1282   1.0023  -0.785402    4.2e-06
  21       120   0.1195   1.0002  -0.785398    3.5e-08
  22       120   0.1178   1.0009  -0.785399    6.3e-07
  23       120   0.1153   1.0014  -0.785399    1.0e-06
  24       120   0.1129   1.0006  -0.785398    2.6e-07
  25       120   0.1309   1.0002  -0.785398    7.8e-09
  26       100   0.1129   1.0031  -0.785400    2.0e-06
  27       120   0.1150   1.0006  -0.785399    3.7e-07
  28       120   0.1212   1.0006  -0.785398    2.1e-07
  29       120   0.1225   1.0009  -0.785399    5.5e-07
  30       140   0.1166   1.0038  -0.785417    1.9e-05
  31       120   0.1163   1.0005  -0.785398    1.3e-07
  32       120   0.1328   1.0006  -0.785398    1.1e-07
  33       120   0.1226   1.0005  -0.785398    2.8e-07
  34       120   0.1357   1.0001  -0.785398    4.6e-09
  35       120   0.1155   1.0012  -0.785398    2.9e-07
  36       120   0.1291   1.0004  -0.785398    1.6e-08
  37       140   0.1366   1.0001  -0.785398    2.0e-08
  38       120   0.1153   1.0007  -0.785399    3.9e-07
  39       120   0.1262   1.0001  -0.785398    5.6e-09
  40       140   0.1308   1.0000  -0.785398    1.4e-10
  41       120   0.1344   1.0006  -0.785398    8.0e-08
  42       120   0.1212   1.0004  -0.785398    3.3e-08
  43       120   0.1197   1.0008  -0.785399    4.9e-07
  44       120   0.1410   1.0002  -0.785398    2.9e-08
  45       140   0.1173   1.0032  -0.785411    1.3e-05
  46       120   0.1381   1.0005  -0.785398    1.2e-07
  47       120   0.1248   1.0002  -0.785398    1.4e-08
  48       120   0.1282   1.0003  -0.785398    7.6e-08
  49       120   0.1367   1.0001  -0.785398    8.6e-09
真空の向き(相対位相配置)のシード間差[deg] 中央=21.8 最大=140.2
判定: inflation全シード=True 等振幅=True Δ=−2π/N=True 真空相異=True  → SSB=確認
