SSB検証 N=6 den=6 M=15  床H⊥/H=2.03e-32  −2π/N=-1.047198
seed lock_step     H⊥/H     amp比          Δ   |Δ+2π/N|
   0       160   0.3563   1.0015  -1.047200    2.1e-06
   1       180   0.3838   1.0007  -1.047198    4.6e-07
   2       120   0.2353   1.0047  -1.047213    1.6e-05
   3       160   0.3455   1.0011  -1.047198    7.2e-07
   4       140   0.2344   1.0048  -1.047215    1.8e-05
   5       220   0.2850   1.0042  -1.047227    2.9e-05
   6       140   0.3339   1.0011  -1.047198    8.1e-08
   7       140   0.3460   1.0019  -1.047200    2.3e-06
   8       140   0.3304   1.0010  -1.047198    4.4e-08
   9       140   0.1766   1.0049  -1.047198    6.6e-07
  10       160   0.3631   1.0016  -1.047201    3.3e-06
  11       320   0.1588   1.0047  -1.047198    3.1e-07
  12       200   0.1682   1.0041  -1.047223    2.6e-05
  13       140   0.3537   1.0011  -1.047198    1.6e-07
  14       120   0.2199   1.0016  -1.047199    1.5e-06
  15       300   0.1502   1.0046  -1.047207    9.3e-06
  16       280   0.1530   1.0044  -1.047207    9.5e-06
  17       160   0.3573   1.0017  -1.047200    2.6e-06
  18       140   0.3338   1.0010  -1.047198    9.4e-08
  19       120   0.2087   1.0021  -1.047198    2.6e-07
  20       160   0.3523   1.0015  -1.047199    1.4e-06
  21       120   0.2036   1.0024  -1.047198    2.2e-07
  22       360   0.2019   1.0044  -1.047213    1.5e-05
  23       120   0.1903   1.0030  -1.047198    6.0e-07
  24       120   0.2118   1.0017  -1.047198    7.0e-07
  25       280   0.1616   1.0045  -1.047198    5.3e-08
  26       160   0.3736   1.0018  -1.047201    3.7e-06
  27       160   0.3686   1.0016  -1.047201    3.3e-06
  28       180   0.3835   1.0006  -1.047198    4.4e-07
  29       140   0.3615   1.0009  -1.047198    1.9e-07
  30       180   0.3807   1.0012  -1.047199    1.5e-06
  31       700   0.3027   1.0043  -1.047213    1.5e-05
  32       140   0.2352   1.0044  -1.047214    1.7e-05
  33       140   0.2207   1.0010  -1.047198    4.5e-07
  34       120   0.1826   1.0045  -1.047199    1.4e-06
  35       140   0.3433   1.0013  -1.047199    1.6e-06
  36       320   0.1565   1.0040  -1.047199    1.1e-06
  37       320   0.3208   1.0040  -1.047207    9.9e-06
  38       140   0.3373   1.0011  -1.047198    4.3e-07
  39       140   0.3536   1.0027  -1.047204    6.1e-06
  40       200   0.2768   1.0046  -1.047228    3.1e-05
  41       180   0.1687   1.0049  -1.047230    3.2e-05
  42       140   0.3475   1.0011  -1.047198    1.4e-07
  43       160   0.3639   1.0017  -1.047201    3.2e-06
  44       160   0.3766   1.0020  -1.047202    4.2e-06
  45       340   0.1552   1.0039  -1.047199    1.4e-06
  46       140   0.3458   1.0014  -1.047200    2.4e-06
  47       140   0.2332   1.0037  -1.047212    1.4e-05
  48       140   0.3430   1.0017  -1.047199    1.6e-06
  49       120   0.3349   1.0018  -1.047198    6.2e-07
真空の向き(相対位相配置)のシード間差[deg] 中央=28.2 最大=157.4
判定: inflation全シード=True 等振幅=True Δ=−2π/N=True 真空相異=True  → SSB=確認
