SSB検証 N=10 den=10 M=45  床H⊥/H=2.37e-33  −2π/N=-0.628319
seed lock_step     H⊥/H     amp比          Δ   |Δ+2π/N|
   0       140   0.1025   1.0008  -0.628319    2.6e-07
   1       160   0.0935   1.0014  -0.628320    1.4e-06
   2       140   0.1064   1.0005  -0.628319    1.6e-07
   3       140   0.1037   1.0004  -0.628319    8.0e-08
   4       160   0.1099   1.0002  -0.628319    1.1e-08
   5       140   0.1007   1.0013  -0.628319    8.6e-07
   6       140   0.1069   1.0023  -0.628321    2.7e-06
   7       140   0.1050   1.0004  -0.628319    7.2e-08
   8       140   0.1027   1.0007  -0.628319    2.8e-07
   9       140   0.1060   1.0004  -0.628319    8.8e-08
  10       140   0.0991   1.0012  -0.628319    8.0e-07
  11       140   0.1130   1.0003  -0.628319    2.7e-08
  12       140   0.1239   1.0009  -0.628319    3.8e-07
  13       140   0.1019   1.0005  -0.628319    9.3e-08
  14       160   0.1129   1.0001  -0.628319    7.6e-09
  15       140   0.1017   1.0005  -0.628319    1.1e-07
  16       140   0.1141   1.0013  -0.628319    2.9e-07
  17       140   0.1111   1.0006  -0.628319    1.0e-07
  18       140   0.1042   1.0004  -0.628319    6.7e-08
  19       140   0.1098   1.0007  -0.628319    2.9e-07
  20       140   0.0999   1.0006  -0.628319    1.1e-07
  21       140   0.1167   1.0007  -0.628319    1.6e-07
  22       140   0.1112   1.0006  -0.628319    2.2e-07
  23       140   0.0992   1.0007  -0.628319    3.1e-07
  24       140   0.1206   1.0004  -0.628319    5.4e-08
  25       140   0.1070   1.0005  -0.628319    1.0e-07
  26       140   0.1059   1.0002  -0.628319    2.7e-08
  27       160   0.1235   1.0003  -0.628319    4.5e-08
  28       160   0.0983   1.0022  -0.628322    3.4e-06
  29       140   0.1054   1.0005  -0.628319    6.6e-08
  30       140   0.1032   1.0005  -0.628319    1.8e-07
  31       140   0.0971   1.0008  -0.628319    4.5e-07
  32       160   0.1199   1.0001  -0.628319    1.0e-08
  33       140   0.1020   1.0005  -0.628319    1.5e-07
  34       140   0.1075   1.0007  -0.628319    2.9e-07
  35       160   0.1032   1.0010  -0.628319    7.4e-07
  36       160   0.1125   1.0001  -0.628319    7.4e-09
  37       140   0.1079   1.0007  -0.628319    1.5e-07
  38       140   0.1049   1.0006  -0.628319    1.9e-07
  39       140   0.1081   1.0004  -0.628319    1.1e-07
  40       140   0.1056   1.0005  -0.628319    1.0e-07
  41       140   0.1135   1.0007  -0.628319    1.7e-07
  42       140   0.0942   1.0004  -0.628319    8.6e-08
  43       140   0.1065   1.0006  -0.628319    1.1e-07
  44       140   0.0998   1.0003  -0.628319    2.1e-08
  45       140   0.1059   1.0006  -0.628319    1.8e-07
  46       140   0.1057   1.0005  -0.628319    6.9e-08
  47       160   0.1126   1.0001  -0.628319    1.4e-08
  48       140   0.1083   1.0003  -0.628319    3.3e-08
  49       140   0.1069   1.0003  -0.628319    2.7e-08
真空の向き(相対位相配置)のシード間差[deg] 中央=32.7 最大=161.1
判定: inflation全シード=True 等振幅=True Δ=−2π/N=True 真空相異=True  → SSB=確認
