SSB検証 N=18 den=18 M=153  床H⊥/H=6.93e-32  −2π/N=-0.349066
seed lock_step     H⊥/H     amp比          Δ   |Δ+2π/N|
   0       180   0.1598   1.0033  -0.349069    2.8e-06
   1       180   0.1588   1.0041  -0.349070    4.6e-06
   2       200   0.1768   1.0028  -0.349068    2.6e-06
   3       180   0.1755   1.0042  -0.349070    4.3e-06
   4       180   0.1510   1.0048  -0.349071    5.6e-06
   5       200   0.1462   1.0017  -0.349067    1.0e-06
   6       180   0.1593   1.0028  -0.349069    3.4e-06
   7       200   0.1282   1.0020  -0.349067    1.1e-06
   8       220   0.1540   1.0022  -0.349067    1.1e-06
   9       200   0.1397   1.0037  -0.349071    5.5e-06
  10       180   0.1692   1.0045  -0.349071    5.2e-06
  11       180   0.1741   1.0037  -0.349071    5.1e-06
  12       220   0.1657   1.0015  -0.349066    6.2e-07
  13       180   0.1630   1.0039  -0.349069    3.6e-06
  14       180   0.1707   1.0034  -0.349069    3.5e-06
  15       180   0.1492   1.0030  -0.349069    3.3e-06
  16       200   0.1368   1.0028  -0.349067    1.5e-06
  17       180   0.1747   1.0037  -0.349069    3.4e-06
  18       200   0.1505   1.0017  -0.349067    9.5e-07
  19       180   0.1649   1.0037  -0.349068    2.5e-06
  20       180   0.1475   1.0041  -0.349069    3.3e-06
  21       200   0.1329   1.0024  -0.349067    1.3e-06
  22       200   0.1357   1.0032  -0.349069    3.2e-06
  23       180   0.1377   1.0044  -0.349070    4.0e-06
  24       180   0.1536   1.0038  -0.349069    3.6e-06
  25       180   0.1728   1.0033  -0.349070    4.3e-06
  26       180   0.1523   1.0045  -0.349073    7.3e-06
  27       180   0.1388   1.0040  -0.349070    4.1e-06
  28       200   0.1702   1.0041  -0.349069    3.1e-06
  29       180   0.1408   1.0028  -0.349068    2.5e-06
  30       200   0.1432   1.0023  -0.349067    1.3e-06
  31       180   0.1710   1.0026  -0.349068    2.6e-06
  32       180   0.1360   1.0039  -0.349071    4.8e-06
  33       180   0.1350   1.0048  -0.349070    3.9e-06
  34       200   0.1423   1.0021  -0.349067    1.1e-06
  35       200   0.1529   1.0018  -0.349067    1.0e-06
  36       200   0.1331   1.0022  -0.349067    1.4e-06
  37       180   0.1598   1.0040  -0.349070    3.9e-06
  38       180   0.1438   1.0039  -0.349070    4.6e-06
  39       180   0.1303   1.0046  -0.349071    4.8e-06
  40       180   0.1346   1.0038  -0.349071    5.5e-06
  41       200   0.1575   1.0020  -0.349067    7.3e-07
  42       180   0.1462   1.0029  -0.349068    2.6e-06
  43       180   0.1478   1.0041  -0.349072    6.3e-06
  44       180   0.1422   1.0042  -0.349070    4.3e-06
  45       200   0.1411   1.0034  -0.349069    3.5e-06
  46       160   0.1273   1.0047  -0.349075    8.8e-06
  47       180   0.1267   1.0042  -0.349069    2.8e-06
  48       200   0.1494   1.0031  -0.349069    2.9e-06
  49       180   0.1449   1.0044  -0.349070    4.4e-06
真空の向き(相対位相配置)のシード間差[deg] 中央=26.9 最大=178.8
判定: inflation全シード=True 等振幅=True Δ=−2π/N=True 真空相異=True  → SSB=確認
