SSB検証 N=19 den=19 M=171  床H⊥/H=5.32e-32  −2π/N=-0.330694
seed lock_step     H⊥/H     amp比          Δ   |Δ+2π/N|
   0       220   0.1572   1.0023  -0.330696    1.9e-06
   1       200   0.1182   1.0035  -0.330700    5.9e-06
   2       220   0.1230   1.0030  -0.330696    1.7e-06
   3       200   0.1381   1.0045  -0.330697    3.3e-06
   4       200   0.1217   1.0031  -0.330698    4.2e-06
   5       220   0.1263   1.0026  -0.330697    2.8e-06
   6       200   0.1447   1.0042  -0.330697    3.2e-06
   7       200   0.1296   1.0036  -0.330696    2.5e-06
   8       220   0.1242   1.0026  -0.330696    1.6e-06
   9       200   0.1377   1.0036  -0.330697    2.8e-06
  10       200   0.1189   1.0050  -0.330699    4.7e-06
  11       200   0.1241   1.0028  -0.330696    2.1e-06
  12       200   0.1456   1.0027  -0.330698    3.6e-06
  13       220   0.1460   1.0023  -0.330696    1.6e-06
  14       200   0.1304   1.0032  -0.330697    2.8e-06
  15       200   0.1322   1.0030  -0.330698    3.7e-06
  16       200   0.1120   1.0046  -0.330701    7.2e-06
  17       200   0.1359   1.0046  -0.330699    4.7e-06
  18       200   0.1442   1.0042  -0.330698    4.4e-06
  19       200   0.1355   1.0026  -0.330697    2.8e-06
  20       220   0.1538   1.0032  -0.330697    2.9e-06
  21       220   0.1200   1.0027  -0.330695    1.3e-06
  22       200   0.1314   1.0046  -0.330698    4.5e-06
  23       180   0.1521   1.0048  -0.330702    8.5e-06
  24       200   0.1218   1.0041  -0.330698    4.2e-06
  25       220   0.1248   1.0045  -0.330701    7.2e-06
  26       200   0.1483   1.0045  -0.330700    5.8e-06
  27       180   0.1616   1.0038  -0.330701    6.9e-06
  28       220   0.1228   1.0023  -0.330695    1.0e-06
  29       180   0.1230   1.0044  -0.330700    6.1e-06
  30       220   0.1251   1.0017  -0.330695    7.9e-07
  31       220   0.1378   1.0031  -0.330696    2.4e-06
  32       200   0.1289   1.0037  -0.330698    4.0e-06
  33       180   0.1191   1.0046  -0.330700    5.5e-06
  34       180   0.1451   1.0043  -0.330700    6.0e-06
  35       220   0.1393   1.0021  -0.330696    2.1e-06
  36       220   0.1364   1.0021  -0.330696    1.8e-06
  37       200   0.1308   1.0042  -0.330700    6.1e-06
  38       200   0.1342   1.0035  -0.330699    4.5e-06
  39       200   0.1186   1.0040  -0.330696    1.9e-06
  40       200   0.1480   1.0035  -0.330698    4.2e-06
  41       200   0.1450   1.0041  -0.330698    3.9e-06
  42       200   0.1274   1.0031  -0.330698    4.1e-06
  43       180   0.1368   1.0050  -0.330702    8.3e-06
  44       200   0.1241   1.0038  -0.330698    3.7e-06
  45       200   0.1429   1.0030  -0.330697    2.9e-06
  46       200   0.1448   1.0031  -0.330698    3.8e-06
  47       200   0.1347   1.0026  -0.330696    2.0e-06
  48       220   0.1417   1.0028  -0.330696    2.2e-06
  49       220   0.1517   1.0036  -0.330696    1.6e-06
真空の向き(相対位相配置)のシード間差[deg] 中央=12.7 最大=179.8
判定: inflation全シード=True 等振幅=True Δ=−2π/N=True 真空相異=True  → SSB=確認
