SSB検証 N=15 den=15 M=105  床H⊥/H=1.87e-33  −2π/N=-0.418879
seed lock_step     H⊥/H     amp比          Δ   |Δ+2π/N|
   0       160   0.1209   1.0022  -0.418880    1.3e-06
   1       140   0.1204   1.0029  -0.418882    2.8e-06
   2       140   0.1159   1.0030  -0.418882    3.2e-06
   3       160   0.1195   1.0014  -0.418880    8.1e-07
   4       160   0.1162   1.0015  -0.418880    8.2e-07
   5       140   0.1278   1.0028  -0.418882    2.8e-06
   6       140   0.1202   1.0030  -0.418881    2.3e-06
   7       160   0.1249   1.0025  -0.418880    1.3e-06
   8       140   0.1155   1.0028  -0.418883    3.6e-06
   9       160   0.1221   1.0013  -0.418880    5.7e-07
  10       160   0.1257   1.0034  -0.418882    2.7e-06
  11       140   0.1170   1.0044  -0.418884    4.9e-06
  12       160   0.1258   1.0014  -0.418880    7.0e-07
  13       140   0.1219   1.0035  -0.418882    2.9e-06
  14       140   0.1196   1.0039  -0.418886    7.4e-06
  15       160   0.1170   1.0025  -0.418881    1.6e-06
  16       140   0.1194   1.0032  -0.418881    2.5e-06
  17       140   0.1157   1.0030  -0.418883    4.0e-06
  18       140   0.1220   1.0044  -0.418885    6.3e-06
  19       160   0.1324   1.0030  -0.418881    1.8e-06
  20       160   0.1156   1.0020  -0.418881    2.3e-06
  21       140   0.1243   1.0041  -0.418885    5.7e-06
  22       160   0.1230   1.0021  -0.418880    1.1e-06
  23       160   0.1176   1.0036  -0.418881    2.2e-06
  24       160   0.1281   1.0018  -0.418880    7.2e-07
  25       160   0.1273   1.0026  -0.418881    1.9e-06
  26       160   0.1260   1.0020  -0.418880    1.3e-06
  27       160   0.1306   1.0030  -0.418881    1.5e-06
  28       140   0.1112   1.0047  -0.418882    3.5e-06
  29       160   0.1139   1.0029  -0.418881    2.2e-06
  30       160   0.1192   1.0014  -0.418880    9.5e-07
  31       160   0.1244   1.0027  -0.418882    3.1e-06
  32       180   0.1245   1.0014  -0.418879    4.4e-07
  33       160   0.1190   1.0029  -0.418881    1.9e-06
  34       140   0.1263   1.0027  -0.418882    3.1e-06
  35       160   0.1255   1.0025  -0.418880    1.4e-06
  36       160   0.1149   1.0034  -0.418881    2.3e-06
  37       160   0.1205   1.0025  -0.418881    1.7e-06
  38       160   0.1284   1.0022  -0.418880    1.2e-06
  39       160   0.1199   1.0013  -0.418880    4.9e-07
  40       160   0.1172   1.0036  -0.418881    2.2e-06
  41       160   0.1142   1.0017  -0.418880    7.8e-07
  42       160   0.1196   1.0013  -0.418880    4.8e-07
  43       160   0.1194   1.0012  -0.418880    5.0e-07
  44       160   0.1198   1.0027  -0.418881    2.3e-06
  45       140   0.1196   1.0030  -0.418882    2.5e-06
  46       160   0.1220   1.0012  -0.418880    7.7e-07
  47       160   0.1239   1.0023  -0.418880    1.4e-06
  48       140   0.1203   1.0046  -0.418886    7.4e-06
  49       180   0.1278   1.0022  -0.418880    1.1e-06
真空の向き(相対位相配置)のシード間差[deg] 中央=12.7 最大=136.5
判定: inflation全シード=True 等振幅=True Δ=−2π/N=True 真空相異=True  → SSB=確認
