SSB検証 N=14 den=14 M=91  床H⊥/H=3.40e-32  −2π/N=-0.448799
seed lock_step     H⊥/H     amp比          Δ   |Δ+2π/N|
   0       180   0.0933   1.0008  -0.448799    1.7e-07
   1       140   0.0974   1.0040  -0.448803    4.1e-06
   2       140   0.0979   1.0035  -0.448803    3.7e-06
   3       140   0.0982   1.0040  -0.448802    2.8e-06
   4       140   0.1007   1.0045  -0.448804    5.2e-06
   5       140   0.0992   1.0044  -0.448804    5.3e-06
   6       160   0.0869   1.0019  -0.448800    7.3e-07
   7       180   0.0961   1.0005  -0.448799    9.9e-08
   8       160   0.0892   1.0011  -0.448799    3.9e-07
   9       160   0.0893   1.0023  -0.448800    9.3e-07
  10       140   0.0935   1.0036  -0.448803    4.1e-06
  11       140   0.0910   1.0046  -0.448804    4.7e-06
  12       160   0.0874   1.0022  -0.448800    1.1e-06
  13       140   0.1005   1.0043  -0.448805    5.7e-06
  14       140   0.0972   1.0042  -0.448804    4.9e-06
  15       140   0.1001   1.0040  -0.448803    4.5e-06
  16       160   0.0953   1.0013  -0.448799    4.3e-07
  17       160   0.0948   1.0011  -0.448799    4.3e-07
  18       180   0.0995   1.0008  -0.448799    1.3e-07
  19       140   0.0915   1.0038  -0.448803    4.2e-06
  20       180   0.0983   1.0005  -0.448799    9.2e-08
  21       140   0.0986   1.0041  -0.448803    4.1e-06
  22       140   0.0928   1.0036  -0.448802    2.8e-06
  23       180   0.0977   1.0004  -0.448799    8.2e-08
  24       160   0.0919   1.0028  -0.448801    1.6e-06
  25       140   0.0922   1.0048  -0.448805    5.6e-06
  26       160   0.0850   1.0018  -0.448800    1.2e-06
  27       140   0.0964   1.0039  -0.448803    3.9e-06
  28       180   0.0989   1.0008  -0.448799    1.1e-07
  29       140   0.0847   1.0027  -0.448802    2.8e-06
  30       160   0.0867   1.0022  -0.448801    1.6e-06
  31       140   0.1003   1.0045  -0.448805    6.4e-06
  32       180   0.0841   1.0005  -0.448799    5.4e-08
  33       180   0.0942   1.0006  -0.448799    6.7e-08
  34       160   0.0933   1.0017  -0.448800    6.6e-07
  35       180   0.0966   1.0005  -0.448799    5.4e-08
  36       140   0.1021   1.0046  -0.448805    6.5e-06
  37       140   0.0929   1.0024  -0.448801    2.1e-06
  38       160   0.0791   1.0024  -0.448800    1.3e-06
  39       160   0.0984   1.0023  -0.448800    8.2e-07
  40       140   0.0942   1.0033  -0.448802    2.7e-06
  41       140   0.1010   1.0041  -0.448806    7.1e-06
  42       140   0.1010   1.0047  -0.448806    6.8e-06
  43       140   0.0987   1.0043  -0.448804    4.9e-06
  44       180   0.0965   1.0004  -0.448799    8.9e-08
  45       140   0.0986   1.0043  -0.448804    5.1e-06
  46       140   0.0949   1.0036  -0.448802    3.2e-06
  47       140   0.0983   1.0037  -0.448801    2.2e-06
  48       160   0.0985   1.0028  -0.448802    2.7e-06
  49       140   0.0944   1.0038  -0.448803    4.0e-06
真空の向き(相対位相配置)のシード間差[deg] 中央=19.7 最大=169.5
判定: inflation全シード=True 等振幅=True Δ=−2π/N=True 真空相異=True  → SSB=確認
