tau,f
930,1.4358089042528532e-13
931,1.487986562469919e-13
932,1.5420604447024088e-13
933,1.5980994656382858e-13
934,1.656175044671239e-13
935,1.7163611968849613e-13
936,1.7787346274361394e-13
937,1.8433748293512785e-13
938,1.910364184781537e-13
939,1.9797880700247056e-13
940,2.0517349644028395e-13
941,2.1262965629977316e-13
942,2.2035678936149398e-13
943,2.283647437782768e-13
944,2.366637256331131e-13
945,2.4526431196241123e-13
946,2.5417746421839995e-13
947,2.6341454225708246e-13
948,2.729873188040414e-13
949,2.829079944754243e-13
950,2.9318921332420696e-13
951,3.038440789587656e-13
952,3.148861712410352e-13
953,3.2632956361216234e-13
954,3.381888410091782e-13
955,3.5047911848592555e-13
956,3.6321606044834473e-13
957,3.7641590065190287e-13
958,3.9009546287255124e-13
959,4.042721823712347e-13
960,4.1896412811250487e-13
961,4.341900257858926e-13
962,4.4996928169627645e-13
963,4.663220074996091e-13
964,4.832690458287394e-13
965,5.008319968662388e-13
966,5.190332458880026e-13
967,5.378959918009525e-13
968,5.57444276706233e-13
969,5.777030165487816e-13
970,5.986980328873639e-13
971,6.204560858132977e-13
972,6.430049080544564e-13
973,6.663732403352759e-13
974,6.905908680311839e-13
975,7.156886591040296e-13
976,7.416986034685695e-13
977,7.686538537968943e-13
978,7.96588767769088e-13
979,8.25538951846574e-13
980,8.555413067074129e-13
981,8.866340742711947e-13
982,9.18856886431251e-13
983,9.522508156100878e-13
984,9.8685842711601e-13
985,1.0227238333897027e-12
986,1.0598927502551856e-12
987,1.0984125552197058e-12
988,1.138332347832949e-12
989,1.179703012312989e-12
990,1.2225772824191841e-12
991,1.2670098086634452e-12
992,1.3130572279949975e-12
993,1.3607782360148665e-12
994,1.4102336618005233e-12
995,1.4614865454455875e-12
996,1.5146022184562892e-12
997,1.5696483870175753e-12
998,1.6266952183358685e-12
999,1.6858154300962034e-12
1000,1.747084383131051e-12
1001,1.8105801775720428e-12
1002,1.8763837523723325e-12
1003,1.9445789885308044e-12
1004,2.0152528159661626e-12
1005,2.0884953244750315e-12
1006,2.1643998784972912e-12
1007,2.243063236153442e-12
1008,2.3245856726709258e-12
1009,2.409071108186603e-12
1010,2.4966272402360425e-12
1011,2.5873656811328714e-12
1012,2.6814021001946595e-12
1013,2.778856371258366e-12
1014,2.879852725532886e-12
1015,2.9845199099803483e-12
1016,3.0929913514681536e-12
1017,3.2054053269245624e-12
1018,3.3219051395613587e-12
1019,3.4426393017358627e-12
1020,3.567761724161798e-12
1021,3.697431912244575e-12
1022,3.831815169463537e-12
1023,3.97108280804167e-12
1024,4.1154123675692935e-12
1025,4.264987841139543e-12
1026,4.41999991018707e-12
1027,4.580646187471765e-12
1028,4.747131469108137e-12
1029,4.919667995727338e-12
1030,5.098475723030802e-12
1031,5.283782602370015e-12
1032,5.475824871237342e-12
1033,5.674847354749056e-12
