t,H,Q2_re,Q2_im,generator_norm
0,np.float64(76.23618079528836),np.float64(-16.88190960235588),np.float64(-8.249196962329059),np.float64(8.061803505201143)
1,np.float64(76.23618079528836),np.float64(-16.88190960235593),np.float64(-8.249196962329057),np.float64(7.734900892344284)
2,np.float64(76.23618079528858),np.float64(-16.881909602355964),np.float64(-8.249196962329092),np.float64(8.402755337864024)
3,np.float64(76.2361807952888),np.float64(-16.881909602356004),np.float64(-8.249196962329112),np.float64(8.450794679518879)
4,np.float64(76.23618079528882),np.float64(-16.881909602356025),np.float64(-8.249196962329112),np.float64(8.4346456140486)
5,np.float64(76.23618079528859),np.float64(-16.881909602355996),np.float64(-8.249196962329101),np.float64(8.790338129026534)
6,np.float64(76.23618079528848),np.float64(-16.881909602355904),np.float64(-8.249196962329115),np.float64(8.677559478704774)
7,np.float64(76.23618079528849),np.float64(-16.881909602355886),np.float64(-8.249196962329155),np.float64(8.697892698147342)
8,np.float64(76.2361807952885),np.float64(-16.88190960235588),np.float64(-8.249196962329219),np.float64(8.81300292755042)
9,np.float64(76.23618079528836),np.float64(-16.881909602355883),np.float64(-8.249196962329195),np.float64(8.857797474678117)
10,np.float64(76.23618079528852),np.float64(-16.881909602355908),np.float64(-8.249196962329247),np.float64(8.721874488623085)
11,np.float64(76.23618079528819),np.float64(-16.881909602355886),np.float64(-8.24919696232918),np.float64(8.852168562682454)
12,np.float64(76.23618079528816),np.float64(-16.88190960235589),np.float64(-8.24919696232917),np.float64(8.877116224991486)
13,np.float64(76.23618079528794),np.float64(-16.88190960235585),np.float64(-8.2491969623292),np.float64(8.842994814617162)
14,np.float64(76.23618079528778),np.float64(-16.881909602355815),np.float64(-8.249196962329199),np.float64(8.784689665835826)
15,np.float64(76.23618079528764),np.float64(-16.88190960235579),np.float64(-8.249196962329203),np.float64(8.891310939958728)
16,np.float64(76.23618079528757),np.float64(-16.881909602355748),np.float64(-8.249196962329249),np.float64(8.894143566480304)
17,np.float64(76.23618079528758),np.float64(-16.881909602355734),np.float64(-8.24919696232924),np.float64(8.814460936481447)
18,np.float64(76.23618079528758),np.float64(-16.881909602355734),np.float64(-8.249196962329268),np.float64(8.843592784528905)
19,np.float64(76.23618079528741),np.float64(-16.88190960235566),np.float64(-8.249196962329323),np.float64(8.868270222205766)
20,np.float64(76.23618079528732),np.float64(-16.88190960235566),np.float64(-8.249196962329243),np.float64(8.901497680235803)
21,np.float64(76.23618079528738),np.float64(-16.881909602355716),np.float64(-8.249196962329195),np.float64(8.798797205466636)
22,np.float64(76.23618079528714),np.float64(-16.881909602355726),np.float64(-8.24919696232921),np.float64(8.87553429628002)
23,np.float64(76.23618079528707),np.float64(-16.881909602355723),np.float64(-8.249196962329155),np.float64(8.871264943552886)
24,np.float64(76.23618079528705),np.float64(-16.88190960235571),np.float64(-8.249196962329153),np.float64(8.857946175338197)
25,np.float64(76.23618079528696),np.float64(-16.8819096023557),np.float64(-8.249196962329071),np.float64(8.854176193689915)
26,np.float64(76.23618079528697),np.float64(-16.88190960235568),np.float64(-8.249196962329032),np.float64(8.824050474802144)
27,np.float64(76.23618079528686),np.float64(-16.881909602355663),np.float64(-8.249196962329023),np.float64(8.90143329972227)
28,np.float64(76.23618079528691),np.float64(-16.88190960235572),np.float64(-8.24919696232898),np.float64(8.796991942052559)
29,np.float64(76.23618079528694),np.float64(-16.881909602355773),np.float64(-8.249196962328913),np.float64(8.890185225789944)
30,np.float64(76.23618079528671),np.float64(-16.88190960235574),np.float64(-8.249196962328856),np.float64(8.812576684574788)
31,np.float64(76.23618079528697),np.float64(-16.88190960235569),np.float64(-8.24919696232896),np.float64(8.846633863920914)
32,np.float64(76.23618079528684),np.float64(-16.88190960235563),np.float64(-8.249196962328977),np.float64(8.799053703060016)
33,np.float64(76.23618079528693),np.float64(-16.88190960235569),np.float64(-8.249196962328993),np.float64(8.816495152530008)
34,np.float64(76.23618079528691),np.float64(-16.881909602355716),np.float64(-8.24919696232897),np.float64(8.875855237042728)
35,np.float64(76.23618079528674),np.float64(-16.881909602355684),np.float64(-8.249196962328902),np.float64(8.783461304426936)
36,np.float64(76.23618079528643),np.float64(-16.88190960235561),np.float64(-8.249196962328869),np.float64(8.820013136711927)
37,np.float64(76.2361807952866),np.float64(-16.881909602355595),np.float64(-8.249196962328934),np.float64(8.760437522220283)
38,np.float64(76.23618079528666),np.float64(-16.881909602355613),np.float64(-8.249196962328952),np.float64(8.842136486820351)
39,np.float64(76.23618079528646),np.float64(-16.881909602355613),np.float64(-8.24919696232895),np.float64(8.755660490662885)
40,np.float64(76.23618079528642),np.float64(-16.881909602355584),np.float64(-8.249196962328973),np.float64(8.77942286514698)
41,np.float64(76.2361807952862),np.float64(-16.881909602355524),np.float64(-8.249196962328938),np.float64(8.758043757318559)
42,np.float64(76.2361807952861),np.float64(-16.88190960235552),np.float64(-8.249196962328949),np.float64(8.821312127940894)
43,np.float64(76.23618079528627),np.float64(-16.88190960235558),np.float64(-8.249196962328908),np.float64(8.82412946451362)
44,np.float64(76.23618079528615),np.float64(-16.881909602355577),np.float64(-8.249196962328927),np.float64(8.781529357405569)
45,np.float64(76.23618079528619),np.float64(-16.881909602355595),np.float64(-8.249196962328893),np.float64(8.742825351625733)
46,np.float64(76.23618079528589),np.float64(-16.88190960235556),np.float64(-8.249196962328828),np.float64(8.735448444581285)
47,np.float64(76.23618079528588),np.float64(-16.881909602355545),np.float64(-8.249196962328845),np.float64(8.819676598688126)
48,np.float64(76.23618079528576),np.float64(-16.88190960235555),np.float64(-8.249196962328824),np.float64(8.746534611383636)
49,np.float64(76.23618079528572),np.float64(-16.881909602355584),np.float64(-8.249196962328847),np.float64(8.770415427913766)
50,np.float64(76.23618079528596),np.float64(-16.88190960235558),np.float64(-8.249196962328977),np.float64(8.741275397094181)
51,np.float64(76.23618079528586),np.float64(-16.88190960235556),np.float64(-8.249196962329036),np.float64(8.848870646593388)
52,np.float64(76.23618079528592),np.float64(-16.88190960235561),np.float64(-8.24919696232893),np.float64(8.76123912738143)
53,np.float64(76.23618079528579),np.float64(-16.88190960235556),np.float64(-8.249196962328966),np.float64(8.823280173994187)
54,np.float64(76.23618079528603),np.float64(-16.881909602355602),np.float64(-8.249196962328897),np.float64(8.701254043579162)
55,np.float64(76.23618079528617),np.float64(-16.881909602355627),np.float64(-8.249196962328968),np.float64(8.723733188273409)
56,np.float64(76.23618079528593),np.float64(-16.88190960235559),np.float64(-8.249196962328956),np.float64(8.754301556049064)
57,np.float64(76.23618079528586),np.float64(-16.881909602355588),np.float64(-8.249196962328883),np.float64(8.717029109986205)
58,np.float64(76.2361807952858),np.float64(-16.881909602355577),np.float64(-8.249196962328922),np.float64(8.794197204505217)
