case,R_input_text,R,center_R,baseline_R,delta_R,abs_delta_R,log10_abs_delta_R,fixed_step,baseline_condition,center_condition_at_baseline_step,fixed_step_condition,fixed_step_error,fixed_step_depth_log10,baseline_fixed_step_error,center_fixed_step_error,normalized_inverse_depth,center_global_min_prefix_error,center_global_best_step,center_global_best_condition,global_min_prefix_error,global_best_step,global_best_condition,tail_best_gray_error,tail_best_condition
delta_m1em05,0.69716777923100315,0.6971677792310031,0.6971777792310031,0.6971777792310031,-9.999999999999997e-06,9.999999999999997e-06,-5.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,3.456967398167505e-07,6.46130471616564,4.900371433708721e-09,4.900371433708721e-09,0.01417534754972334,4.900371433708721e-09,247,phi0_s0.01_g0,5.954772561801798e-08,3913,phi1_s0.01_g0,4.758962089325707e-06,phi1_s0.01_g0
delta_m1em06,0.69717677923100307,0.6971767792310031,0.6971777792310031,0.6971777792310031,-1e-06,1e-06,-6.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,3.805621181663717e-08,7.419574444346702,4.900371433708721e-09,4.900371433708721e-09,0.12876666383190585,4.900371433708721e-09,247,phi0_s0.01_g0,3.805621181663717e-08,247,phi1_s0.01_g0,3.3913876994448276e-06,phi0_s0.01_g0
delta_m1em07,0.69717767923100316,0.6971776792310032,0.6971777792310031,0.6971777792310031,-1e-07,1e-07,-7.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,8.20671380627055e-09,8.085830711517007,4.900371433708721e-09,4.900371433708721e-09,0.5971173784523187,4.900371433708721e-09,247,phi0_s0.01_g0,8.20671380627055e-09,247,phi1_s0.01_g0,2.9558540440176357e-06,phi0_s0.01_g0
delta_m1em08,0.69717776923100305,0.697177769231003,0.6971777792310031,0.6971777792310031,-1e-08,1e-08,-8.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,5.2309135211933876e-09,8.281422459781199,4.900371433708721e-09,4.900371433708721e-09,0.9368098734292866,4.900371433708721e-09,247,phi0_s0.01_g0,5.2309135211933876e-09,247,phi0_s0.01_g0,2.9316337997874238e-06,phi0_s0.01_g0
delta_m1em09,0.69717777823100313,0.6971777782310031,0.6971777792310031,0.6971777792310031,-9.999999999999996e-10,9.999999999999996e-10,-9.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,4.933424528747928e-09,8.3068515112235,4.900371433708721e-09,4.900371433708721e-09,0.993300172152913,4.900371433708721e-09,247,phi0_s0.01_g0,4.933424528747928e-09,247,phi1_s0.01_g0,2.9294051048068016e-06,phi1_s0.01_g0
center,0.69717777923100305,0.6971777792310031,0.6971777792310031,0.6971777792310031,0.0,0.0,,247,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,4.900371433708721e-09,8.309771000482412,4.900371433708721e-09,4.900371433708721e-09,1.0,4.900371433708721e-09,247,phi0_s0.01_g0,4.900371433708721e-09,247,phi0_s0.01_g0,2.9291596384698248e-06,phi1_s0.01_g0
delta_p1em09,0.69717778023100307,0.6971777802310031,0.6971777792310031,0.6971777792310031,9.999999999999996e-10,9.999999999999996e-10,-9.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,4.867318386780111e-09,8.31271024424362,4.900371433708721e-09,4.900371433708721e-09,1.0067908125793423,4.900371433708721e-09,247,phi0_s0.01_g0,4.867318386780111e-09,247,phi0_s0.01_g0,2.928914622739852e-06,phi1_s0.01_g0
delta_p1em08,0.69717778923100315,0.6971777892310032,0.6971777792310031,0.6971777792310031,1e-08,1e-08,-8.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,4.5698503345314736e-09,8.340098023114281,4.900371433708721e-09,4.900371433708721e-09,1.0723264603831133,4.900371433708721e-09,247,phi0_s0.01_g0,4.5698503345314736e-09,247,phi1_s0.01_g0,2.926728887148503e-06,phi1_s0.01_g0
delta_p1em07,0.69717787923100305,0.697177879231003,0.6971777792310031,0.6971777792310031,1e-07,1e-07,-7.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,1.5960828965752349e-09,8.796944556224474,4.900371433708721e-09,4.900371433708721e-09,3.070248697121936,4.900371433708721e-09,247,phi0_s0.01_g0,1.5960828965752349e-09,247,phi0_s0.01_g0,2.9068049583210503e-06,phi1_s0.01_g0
delta_p1em06,0.69717877923100313,0.6971787792310031,0.6971777792310031,0.6971777792310031,1e-06,1e-06,-6.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi1_s0.01_g0,2.819068220166642e-08,7.54989441427262,4.900371433708721e-09,4.900371433708721e-09,0.17382947310934704,4.900371433708721e-09,247,phi0_s0.01_g0,2.819068220166642e-08,247,phi1_s0.01_g0,2.900901669783572e-06,phi1_s0.01_g0
delta_p1em05,0.69718777923100306,0.6971877792310031,0.6971777792310031,0.6971777792310031,9.999999999999997e-06,9.999999999999997e-06,-5.0,247,phi0_s0.01_g0,phi0_s0.01_g0,phi0_s0.01_g0,3.341744668380058e-07,6.47602673617507,4.900371433708721e-09,4.900371433708721e-09,0.014664110876203543,4.900371433708721e-09,247,phi0_s0.01_g0,6.165572215516699e-08,4021,phi0_s0.01_g0,1.1443806570275547e-06,phi0_s0.01_g0
