step,tol,triplet_cluster_count
0,0.01,68
0,0.001,115
0,0.0001,120
0,1e-06,120
0,1e-08,120
50,0.01,67
50,0.001,114
50,0.0001,120
50,1e-06,120
50,1e-08,120
100,0.01,68
100,0.001,115
100,0.0001,120
100,1e-06,120
100,1e-08,120
150,0.01,69
150,0.001,115
150,0.0001,120
150,1e-06,120
150,1e-08,120
200,0.01,67
200,0.001,114
200,0.0001,120
200,1e-06,120
200,1e-08,120
250,0.01,65
250,0.001,113
250,0.0001,120
250,1e-06,120
250,1e-08,120
300,0.01,68
300,0.001,115
300,0.0001,120
300,1e-06,120
300,1e-08,120
350,0.01,69
350,0.001,115
350,0.0001,120
350,1e-06,120
350,1e-08,120
400,0.01,68
400,0.001,114
400,0.0001,120
400,1e-06,120
400,1e-08,120
450,0.01,66
450,0.001,113
450,0.0001,120
450,1e-06,120
450,1e-08,120
500,0.01,68
500,0.001,115
500,0.0001,120
500,1e-06,120
500,1e-08,120
750,0.01,68
750,0.001,115
750,0.0001,120
750,1e-06,120
750,1e-08,120
1000,0.01,67
1000,0.001,113
1000,0.0001,120
1000,1e-06,120
1000,1e-08,120
1500,0.01,68
1500,0.001,115
1500,0.0001,120
1500,1e-06,120
1500,1e-08,120
2000,0.01,67
2000,0.001,115
2000,0.0001,120
2000,1e-06,120
2000,1e-08,120
2500,0.01,68
2500,0.001,113
2500,0.0001,120
2500,1e-06,120
2500,1e-08,120
3000,0.01,69
3000,0.001,115
3000,0.0001,120
3000,1e-06,120
3000,1e-08,120
3500,0.01,66
3500,0.001,113
3500,0.0001,120
3500,1e-06,120
3500,1e-08,120
4000,0.01,68
4000,0.001,115
4000,0.0001,120
4000,1e-06,120
4000,1e-08,120
4500,0.01,68
4500,0.001,115
4500,0.0001,120
4500,1e-06,120
4500,1e-08,120
5000,0.01,67
5000,0.001,113
5000,0.0001,120
5000,1e-06,120
5000,1e-08,120
