axis,log_growth_rate_per_step,fit_start,fit_end,fit_count,initial,final,max
1,0.0003408718310428765,382,5000,4619,4.836772614953649e-17,8.204546718567322e-10,8.204546718567322e-10
2,0.00033685168089013615,405,5000,4596,4.3417155567127555e-17,7.8430199786384e-10,7.8430199786384e-10
3,0.00032334111823964387,467,5000,4534,4.1163825807935724e-17,7.049226281067488e-10,7.049226281067488e-10
4,0.00031342276203366674,491,5000,4510,3.848566628358674e-17,6.820987083207693e-10,6.820987083207693e-10
5,0.0002733752102540503,563,5000,4438,3.509179172423789e-17,5.482661675752195e-10,5.49020906329768e-10
6,0.00026249565972042815,579,5000,4422,3.351684721430349e-17,4.832801113587371e-10,4.832801113587371e-10
7,0.0002454634214163171,647,5000,4354,3.2367901671012376e-17,4.6230631135774665e-10,4.6230631135774665e-10
8,0.00022613710167682132,667,5000,4334,3.047314024477064e-17,4.299260985675955e-10,4.299260985675955e-10
9,0.00019939492489778025,674,5000,4327,2.7378114178750396e-17,3.5370677537306246e-10,3.5370677537306246e-10
10,0.00018985385682100602,762,5000,4239,2.2800184367770052e-17,3.3865131206689647e-10,3.3865131206689647e-10
11,0.0001936918884153427,933,5000,4068,2.1005587564599096e-17,2.9536374732629083e-10,2.9536374732629083e-10
12,0.0001434621717262469,963,5000,4038,1.9834288896381703e-17,2.1725457388964396e-10,2.1725457388964396e-10
13,0.00013743319262837694,1102,5000,3342,1.6680489708159797e-17,1.831686597681103e-10,1.852192438870041e-10
14,0.00010014209855742416,1705,5000,986,1.3342976621812355e-17,1.4244607497993906e-10,1.4244607497993906e-10
15,2.935030465264262e-05,4631,4989,359,8.282381316889342e-18,9.892875637469173e-11,1.1916538361750872e-10
