step,H_total,abs_ZtZ,sum_a2,sum_b2,sum_ab,r2_min,r2_max,simplex_rank
0,3.6350618310696317,1.1039080183654704e-14,1.8175309155348185,1.8175309155348132,4.687222832089333e-15,0.03029218191974534,0.030292181934038504,15
1,3.6350618310696383,7.705672141379406e-15,1.8175309155348203,1.8175309155348178,3.642919299551295e-15,0.030292181919742037,0.030292181934049235,15
2,3.635061831069643,7.24335444010557e-15,1.8175309155348225,1.8175309155348207,3.5214886562329184e-15,0.030292181919738342,0.030292181934060726,15
3,3.635061831069648,6.745636349396323e-15,1.817530915534825,1.8175309155348232,3.2959746043559335e-15,0.030292181919734228,0.03029218193407304,15
4,3.6350618310696436,8.645430200977442e-15,1.817530915534824,1.8175309155348196,3.712308238590367e-15,0.030292181919729693,0.030292181934086136,15
5,3.6350618310696463,8.783444752047108e-15,1.8175309155348256,1.8175309155348205,3.6290415117434804e-15,0.030292181919724815,0.030292181934100035,15
6,3.6350618310696374,1.0204553570346868e-14,1.8175309155348214,1.817530915534816,4.274358644806853e-15,0.03029218191971945,0.03029218193411468,15
7,3.6350618310696325,1.447500668939482e-14,1.8175309155348203,1.8175309155348118,5.8772431366094224e-15,0.03029218191971368,0.030292181934130115,15
8,3.6350618310696348,1.1094395205093649e-14,1.8175309155348212,1.8175309155348143,4.496403249731884e-15,0.030292181919707586,0.030292181934146435,15
9,3.635061831069625,1.2415123965771349e-14,1.8175309155348163,1.8175309155348083,4.760081218080359e-15,0.030292181919701004,0.030292181934163415,15
10,3.635061831069618,1.2156942119645464e-14,1.817530915534813,1.817530915534805,4.593547764386585e-15,0.030292181919694038,0.030292181934181206,15
11,3.6350618310695957,9.607850186147388e-15,1.817530915534801,1.8175309155347943,3.3306690738754696e-15,0.030292181919686516,0.03029218193419963,15
12,3.6350618310695832,1.5156939667336593e-14,1.8175309155347965,1.8175309155347867,5.7592819402429996e-15,0.030292181919678824,0.030292181934218964,15
13,3.635061831069584,1.2242222690848501e-14,1.8175309155347958,1.8175309155347878,4.538036613155327e-15,0.030292181919670706,0.030292181934239076,15
14,3.6350618310695797,7.857573554041095e-15,1.817530915534793,1.817530915534787,2.5673907444456745e-15,0.030292181919662202,0.030292181934259955,15
15,3.6350618310695735,6.197640422843119e-15,1.8175309155347896,1.817530915534784,1.5959455978986625e-15,0.030292181919653306,0.030292181934281598,15
