t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(944.3855946509982),np.float64(-61.62803654632481),np.float64(102.25575545922806),np.float64(58.417252869072655),np.float64(4.440892098500626e-16)
1,np.float64(944.385594650997),np.float64(-61.62803654632502),np.float64(102.25575545922727),np.float64(59.51713354276449),np.float64(8.881784197001252e-16)
2,np.float64(944.3855946509964),np.float64(-61.62803654632514),np.float64(102.25575545922726),np.float64(103.99843649515347),np.float64(1.7763568394002505e-15)
3,np.float64(944.3855946509954),np.float64(-61.628036546326484),np.float64(102.25575545922585),np.float64(161.459168130695),np.float64(7.105427357601002e-15)
4,np.float64(944.3855946509967),np.float64(-61.628036546325575),np.float64(102.25575545922524),np.float64(213.27187573267443),np.float64(7.105427357601002e-15)
5,np.float64(944.3855946509962),np.float64(-61.62803654632385),np.float64(102.25575545922608),np.float64(259.2891201288507),np.float64(7.105427357601002e-15)
6,np.float64(944.3855946509956),np.float64(-61.628036546323344),np.float64(102.25575545922611),np.float64(346.82579932179897),np.float64(1.4210854715202004e-14)
7,np.float64(944.3855946509968),np.float64(-61.62803654632471),np.float64(102.25575545922638),np.float64(382.92877008773667),np.float64(1.4210854715202004e-14)
8,np.float64(944.3855946509981),np.float64(-61.628036546321795),np.float64(102.25575545922823),np.float64(404.8918064637707),np.float64(1.4210854715202004e-14)
9,np.float64(944.3855946509982),np.float64(-61.628036546325205),np.float64(102.2557554592268),np.float64(423.7568741816751),np.float64(2.842170943040401e-14)
10,np.float64(944.385594650997),np.float64(-61.628036546324466),np.float64(102.2557554592279),np.float64(437.2933790068852),np.float64(2.842170943040401e-14)
11,np.float64(944.3855946509934),np.float64(-61.62803654632549),np.float64(102.25575545922554),np.float64(439.948470677126),np.float64(1.4210854715202004e-14)
12,np.float64(944.3855946509937),np.float64(-61.62803654632411),np.float64(102.25575545922692),np.float64(441.50964959176963),np.float64(2.842170943040401e-14)
13,np.float64(944.3855946509948),np.float64(-61.62803654632381),np.float64(102.25575545922457),np.float64(442.23624467446757),np.float64(1.4210854715202004e-14)
14,np.float64(944.3855946509923),np.float64(-61.62803654632316),np.float64(102.25575545922325),np.float64(442.94412162160745),np.float64(2.842170943040401e-14)
15,np.float64(944.3855946509918),np.float64(-61.628036546324395),np.float64(102.25575545922361),np.float64(443.43892115203124),np.float64(2.842170943040401e-14)
16,np.float64(944.3855946509908),np.float64(-61.62803654632421),np.float64(102.25575545922374),np.float64(443.712578232542),np.float64(2.842170943040401e-14)
17,np.float64(944.3855946509894),np.float64(-61.628036546322676),np.float64(102.25575545922399),np.float64(443.8937427466858),np.float64(2.842170943040401e-14)
18,np.float64(944.3855946509905),np.float64(-61.628036546321255),np.float64(102.25575545922425),np.float64(444.3728434972932),np.float64(2.842170943040401e-14)
19,np.float64(944.3855946509909),np.float64(-61.62803654632158),np.float64(102.25575545922366),np.float64(444.75342940175454),np.float64(2.842170943040401e-14)
20,np.float64(944.3855946509921),np.float64(-61.628036546320985),np.float64(102.2557554592247),np.float64(445.03495749091707),np.float64(1.4210854715202004e-14)
