step,tol,triplet_cluster_count,cluster_sizes_desc
0,0.01,2,49;42
0,0.001,2,49;42
0,0.0001,2,49;42
0,1e-06,2,49;42
0,1e-08,2,49;42
0,1e-10,2,49;42
1,0.01,2,49;42
1,0.001,2,49;42
1,0.0001,2,49;42
1,1e-06,2,49;42
1,1e-08,2,49;42
1,1e-10,2,49;42
10,0.01,2,49;42
10,0.001,2,49;42
10,0.0001,2,49;42
10,1e-06,2,49;42
10,1e-08,2,49;42
10,1e-10,2,49;42
50,0.01,2,49;42
50,0.001,2,49;42
50,0.0001,2,49;42
50,1e-06,2,49;42
50,1e-08,2,49;42
50,1e-10,3,48;42;1
100,0.01,2,49;42
100,0.001,2,49;42
100,0.0001,2,49;42
100,1e-06,10,42;40;2;1;1;1;1;1;1;1
100,1e-08,54,5;5;5;4;4;4;4;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100,1e-10,90,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
150,0.01,22,16;14;7;6;6;6;6;6;4;4;3;2;2;1;1;1;1;1;1;1;1;1
150,0.001,60,5;4;4;4;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
