case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2
N=14,14,91,13,0.516815633404383,0.03438009476946727,0.03438009476946956,91,59
N=15,15,105,14,0.4554989885753189,0.03229456697095634,0.03229456697095765,105,67
