波ID,関係ID,関係辺,DFTビン,倍音次数,倍音種別,倍音振幅,倍音強度,波内強度比,倍音位相度,数値誤差床より上,有限住所,有限回帰次数,倍音B/F,回転枝,住所電荷量
W0001,1,"(1,2)",0,0,直流,0.006234524601032465,3.886929700087902e-05,0.02903224543332103,-11.881296581788725,True,0/1,1,直流,直流,0.0
W0001,1,"(1,2)",1,1,基本波,0.001147093125863,1.3158226394021484e-06,0.000982813911272425,142.59483980650538,True,1/40,40,F型（奇数倍音）,正周回,0.0061558297024311365
W0001,1,"(1,2)",2,2,第2倍音,0.0007099855809480774,5.04079525154179e-07,0.00037650695076520396,-38.4127623609703,True,1/20,20,B型（偶数倍音）,正周回,0.024471741852423214
W0001,1,"(1,2)",3,3,第3倍音,0.007382682929414196,5.4504007236263765e-05,0.040710119227186696,-2.513496230523119,True,3/40,40,F型（奇数倍音）,正周回,0.05449673790581606
W0001,1,"(1,2)",4,4,第4倍音,0.002997913710074901,8.98748661305505e-06,0.006712931215941482,-67.58242599434183,True,1/10,10,B型（偶数倍音）,正周回,0.09549150281252627
W0001,1,"(1,2)",5,5,第5倍音,0.0027192661038533818,7.394408143565949e-06,0.005523029450553209,-75.9084993861886,True,1/8,8,F型（奇数倍音）,正周回,0.14644660940672624
W0001,1,"(1,2)",6,6,第6倍音,0.006690643219708376,4.476470669342965e-05,0.03343564334196442,147.75030511880513,True,3/20,20,B型（偶数倍音）,正周回,0.20610737385376346
W0001,1,"(1,2)",7,7,第7倍音,0.0019124296238532184,3.6573870661913623e-06,0.0027317746175836498,103.43867685157561,True,7/40,40,F型（奇数倍音）,正周回,0.2730047501302265
W0001,1,"(1,2)",8,8,第8倍音,0.00728707420352834,5.310145044772818e-05,0.03966252186729581,-178.8121264095723,True,1/5,5,B型（偶数倍音）,正周回,0.3454915028125263
W0001,1,"(1,2)",9,9,第9倍音,0.006338445846021986,4.017589574295337e-05,0.030008169833546566,58.92457235682101,True,9/40,40,F型（奇数倍音）,正周回,0.4217827674798846
W0001,1,"(1,2)",10,10,第10倍音,0.0024440900276565076,5.9735760632899885e-06,0.004461781914402121,-146.48593106229887,True,1/4,4,B型（偶数倍音）,正周回,0.4999999999999999
W0001,1,"(1,2)",11,11,第11倍音,0.004334628205120994,1.8789001676630452e-05,0.014033876355177702,20.319511586066554,True,11/40,40,F型（奇数倍音）,正周回,0.5782172325201153
W0001,1,"(1,2)",12,12,第12倍音,0.00578482184122321,3.346416373469309e-05,0.024995044668404465,-55.21492768611642,True,3/10,10,B型（偶数倍音）,正周回,0.6545084971874737
W0001,1,"(1,2)",13,13,第13倍音,0.006236344335873051,3.8891990675575887e-05,0.029049195787055716,99.63513601309782,True,13/40,40,F型（奇数倍音）,正周回,0.7269952498697734
W0001,1,"(1,2)",14,14,第14倍音,0.005106872199484424,2.608014366186688e-05,0.019479774273006997,112.58200092488498,True,7/20,20,B型（偶数倍音）,正周回,0.7938926261462367
W0001,1,"(1,2)",15,15,第15倍音,0.0035669433060623985,1.272308454866335e-05,0.009503123076224803,-102.17687907973678,True,3/8,8,F型（奇数倍音）,正周回,0.8535533905932737
W0001,1,"(1,2)",16,16,第16倍音,0.006528292943734489,4.261860875921353e-05,0.03183268041858825,75.85429031285456,True,2/5,5,B型（偶数倍音）,正周回,0.9045084971874736
W0001,1,"(1,2)",17,17,第17倍音,0.00543588859909262,2.9548884861745134e-05,0.022070645568087546,-13.837751879694373,True,17/40,40,F型（奇数倍音）,正周回,0.9455032620941839
W0001,1,"(1,2)",18,18,第18倍音,0.002293335464193331,5.259387551326841e-06,0.003928340412630078,-142.80806099420545,True,9/20,20,B型（偶数倍音）,正周回,0.9755282581475768
W0001,1,"(1,2)",19,19,第19倍音,0.0049228335785229385,2.423429044183297e-05,0.018101070055210146,-0.13931549797695378,True,19/40,40,F型（奇数倍音）,正周回,0.9938441702975689
W0001,1,"(1,2)",20,20,第20倍音,0.006019037716109791,3.622881502795216e-05,0.027060017309448896,-127.74443801112679,True,1/2,2,B型（偶数倍音）,正周回,1.0
W0001,1,"(1,2)",21,-19,逆回転第19倍音,0.005092741989704431,2.5936020973698652e-05,0.01937212619140379,-40.77470675027918,True,-19/40,40,F型（奇数倍音）,負周回,0.9938441702975689
W0001,1,"(1,2)",22,-18,逆回転第18倍音,0.004892581758498134,2.3937356263588686e-05,0.017879284054291875,-20.721222212393908,True,-9/20,20,B型（偶数倍音）,負周回,0.9755282581475768
W0001,1,"(1,2)",23,-17,逆回転第17倍音,0.006486545202186965,4.207526866001472e-05,0.03142684896983969,-9.241322007095125,True,-17/40,40,F型（奇数倍音）,負周回,0.9455032620941839
W0001,1,"(1,2)",24,-16,逆回転第16倍音,0.006913342627531676,4.779430628564658e-05,0.03569851109910297,-169.99534441565245,True,-2/5,5,B型（偶数倍音）,負周回,0.9045084971874736
W0001,1,"(1,2)",25,-15,逆回転第15倍音,0.007702250153904359,5.932465743331972e-05,0.044310758046714374,18.878766837588856,True,-3/8,8,F型（奇数倍音）,負周回,0.8535533905932737
W0001,1,"(1,2)",26,-14,逆回転第14倍音,0.012429365665506911,0.0001544891308468821,0.11539098233306605,-53.0331768924777,True,-7/20,20,B型（偶数倍音）,負周回,0.7938926261462367
W0001,1,"(1,2)",27,-13,逆回転第13倍音,0.0037983540926073227,1.4427493812826802e-05,0.010776180010465224,-128.26233587193482,True,-13/40,40,F型（奇数倍音）,負周回,0.7269952498697734
W0001,1,"(1,2)",28,-12,逆回転第12倍音,0.002615712548013886,6.841952133837299e-06,0.005110389148229433,67.12318389563535,True,-3/10,10,B型（偶数倍音）,負周回,0.6545084971874737
W0001,1,"(1,2)",29,-11,逆回転第11倍音,0.0020357408603601302,4.144240850539805e-06,0.0030954153224059026,-118.82343651892168,True,-11/40,40,F型（奇数倍音）,負周回,0.5782172325201153
W0001,1,"(1,2)",30,-10,逆回転第10倍音,0.004740573448335675,2.2473036619065188e-05,0.01678555479770979,0.5954869746113285,True,-1/4,4,B型（偶数倍音）,負周回,0.4999999999999999
W0001,1,"(1,2)",31,-9,逆回転第9倍音,0.005128397907880918,2.6300465101557374e-05,0.019644336706723574,-27.694150990574897,True,-9/40,40,F型（奇数倍音）,負周回,0.4217827674798846
