波ID,関係ID,関係辺,波振幅,親位相度,標本数N,波の構成,非直流成分数,非直流次数一覧,基本波成分数,倍音数,倍音次数一覧,基本波振幅,基本波位相度,最大強度倍音次数,最大強度倍音振幅,最大強度倍音位相度,実効非直流成分数,奇数倍音強度比,偶数倍音強度比,B/F読出し,粒子反粒子読出し,正負周回偏極,最大強度倍音住所,有限回帰次数,住所電荷量,符号付き住所電荷量,質量二乗型Gram量,質量型sqrtGram量,半周重なり実部,半周同符号残差,半周反符号残差,半周二次量残差,状態回帰次数,二次量回帰次数,半周期被覆比,スピン型読出し,相関寿命型量標本,零閉塞絶対残差,零閉塞相対残差,零閉塞成立
W0001,1,"(1,2)",0.036590052249662275,138.62569871811323,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.001147093125863,142.59483980650538,-14,0.012429365665506911,-53.0331768924777,21.716265458834872,0.43909736369675545,0.5609026363032446,奇数・偶数倍音混合（偶数優勢）,反粒子側（負周回）,-0.2846778776792755,-7/20,20,0.7938926261462367,-0.7938926261462367,3.2344304310778544e-07,0.000568720531639034,0.147301237470426,1.305908697060843,1.514794532252098,1.4325763688698734,40,40,,奇数・偶数倍音の混合スピン型,1,1.4250306694220938e-19,1.0643835452886217e-16,True
W0002,2,"(1,3)",0.03616487221766556,138.6256987181132,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.004875526153961819,102.28348850954595,10,0.010478953916836427,10.013334757837523,23.860496186223152,0.6038456800338583,0.3961543199661417,奇数・偶数倍音混合（奇数優勢）,反粒子側（負周回）,-0.11110489808367793,1/4,4,0.4999999999999999,-0.4999999999999999,3.9980975759456583e-07,0.0006323051143194762,-0.18889521336610493,1.5420085689555068,1.2736599127191643,1.2786847917395896,40,40,,奇数・偶数倍音の混合スピン型,1,2.0328790734103208e-19,1.5543101224862645e-16,True
W0003,3,"(1,4)",0.03625636374348441,-41.37430128188684,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.0042466009564676955,164.7322459383508,2,0.011753078915872404,-153.99951000343998,20.52671857270836,0.5124240274065159,0.487575972593484,奇数・偶数倍音混合（奇数優勢）,粒子側（正周回）,0.13742143485652103,1/20,20,0.024471741852423214,0.024471741852423214,3.535040309333118e-07,0.0005945620496914614,-0.0178641160684966,1.426789484169614,1.4015248010160244,1.4935955568313044,40,40,,奇数・偶数倍音の混合スピン型,1,1.940426587757867e-19,1.4761440017880035e-16,True
W0004,4,"(1,5)",0.034615347517126256,138.62569871811326,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.003168621544696891,-14.248425909854726,-2,0.011725106351741935,13.48459668825213,18.584527529543188,0.5225375631282156,0.47746243687178436,奇数・偶数倍音混合（奇数優勢）,反粒子側（負周回）,-0.02266878990349532,-1/20,20,0.024471741852423214,-0.024471741852423214,3.1478055877750597e-07,0.0005610530801782537,0.009583223888536583,1.4074208866657218,1.4209737674486018,1.4406729169805224,40,40,,奇数・偶数倍音の混合スピン型,1,3.4077262931723243e-19,2.843985076425239e-16,True
W0005,5,"(1,6)",0.03434335002317299,48.62569871811316,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.003633905081357309,-36.205656182766276,18,0.01062747425679122,87.23668517978633,22.409878210682354,0.4948456288808182,0.5051543711191818,奇数・偶数倍音混合（偶数優勢）,粒子側（正周回）,0.1864333054526586,9/20,20,0.9755282581475768,0.9755282581475768,3.1949205746115037e-07,0.0005652362846289597,0.018071700394166026,1.4013766799871004,1.4269349672596616,1.4819515846963693,40,40,,奇数・偶数倍音の混合スピン型,1,1.7142741545784674e-19,1.453432828041922e-16,True
W0006,6,"(1,7)",0.03605491174767216,-131.37430128188677,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.0018672370940827072,69.05881960847938,-13,0.014481351040022291,-106.03184864946357,13.67216535844923,0.6784808101092691,0.3215191898907308,奇数・偶数倍音混合（奇数優勢）,反粒子側（負周回）,-0.2778916058237474,-13/40,40,0.7269952498697734,-0.7269952498697734,3.7676965811709546e-07,0.0006138156548322106,-0.35550741226032895,1.6465159654618164,1.135334829677722,1.3981366022727957,40,40,,奇数・偶数倍音の混合スピン型,1,2.1428426932230842e-20,1.648395486782148e-17,True
W0007,7,"(1,8)",0.03443511321088955,-131.37430128188683,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.00350199350279619,-0.2623525157102759,-17,0.013417797338481873,32.451033818611435,16.13898335943958,0.6083557150584593,0.3916442849415407,奇数・偶数倍音混合（奇数優勢）,粒子側（正周回）,0.05973913245453372,-17/40,40,0.9455032620941839,0.9455032620941839,2.8471855272896414e-07,0.0005335902479702606,-0.1295457506099103,1.503027445264996,1.3194349164624148,1.2496233329800015,40,40,,奇数・偶数倍音の混合スピン型,1,4.8864331573324237e-20,4.120870169774484e-17,True
W0008,8,"(1,9)",0.035677816377366396,48.625698718113156,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.0041306779238603495,36.757842452466804,4,0.010362118988885572,-167.25552439677946,23.091044799400848,0.5469065057225574,0.45309349427744267,奇数・偶数倍音混合（奇数優勢）,粒子側（正周回）,0.07337940707210017,1/10,10,0.09549150281252627,0.09549150281252627,3.5679456262020937e-07,0.0005973228294818551,-0.09069017987879313,1.4769496808481952,1.3485620639193487,1.3321430952383355,40,40,,奇数・偶数倍音の混合スピン型,1,3.396253570840036e-19,2.668109050824771e-16,True
W0009,9,"(1,10)",0.03616684726315597,-131.37430128188686,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.004053817334847544,20.167149612315423,17,0.01135281381303456,-163.64230799951582,20.38682858714115,0.5237093794835864,0.47629062051641363,奇数・偶数倍音混合（奇数優勢）,粒子側（正周回）,0.024642043922091336,17/40,40,0.9455032620941839,0.9455032620941839,3.003384743746005e-07,0.0005480314538186658,-0.028870945547856214,1.4344831442354813,1.393649205827739,1.64196573304089,40,40,,奇数・偶数倍音の混合スピン型,1,3.085991080930677e-19,2.3592467332091626e-16,True
W0010,10,"(1,11)",0.0360755996180979,-41.37430128188672,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.0018825547050950744,-130.69837222961425,19,0.011724100763084052,-50.24649375557312,18.824034177941265,0.4985389336396375,0.5014610663603625,奇数・偶数倍音混合（偶数優勢）,反粒子側（負周回）,-0.09758645589576914,19/40,40,0.9938441702975689,-0.9938441702975689,3.586793047360904e-07,0.0005988984093617969,0.02223157418324785,1.3984051099854806,1.429847246514989,1.438061962992965,40,40,,奇数・偶数倍音の混合スピン型,1,1.9166167708542177e-19,1.4726792491146536e-16,True
W0011,11,"(1,12)",0.03460008710601677,48.62569871811319,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.0026114186467773516,-28.005953200188415,-7,0.010291649203867607,-75.95797544254195,20.024637474061407,0.5790239643972424,0.42097603560275754,奇数・偶数倍音混合（奇数優勢）,粒子側（正周回）,0.07258000256313613,-7/40,40,0.2730047501302265,0.2730047501302265,2.97265622452919e-07,0.0005452207098532841,-0.1360339381644769,1.5073380099794984,1.3145083201224124,1.449193382796718,40,40,,奇数・偶数倍音の混合スピン型,1,4.338925755574552e-20,3.624330840519449e-17,True
W0012,12,"(1,13)",0.03701805966073242,138.62569871811323,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.0020177638587546547,-143.08274619109062,-7,0.015086280591742168,-148.6420438552387,17.35652343504489,0.5231426501488071,0.476857349851193,奇数・偶数倍音混合（奇数優勢）,反粒子側（負周回）,-0.3323615444813312,-7/40,40,0.2730047501302265,-0.2730047501302265,3.756262540624241e-07,0.0006128835566911745,-0.04095687140400017,1.4428838285905072,1.384949911437955,1.4218483511495006,40,40,,奇数・偶数倍音の混合スピン型,1,2.557085709640757e-19,1.8660272566943963e-16,True
W0013,13,"(1,14)",0.036811751755429147,-41.374301281886794,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.004037815279701585,-149.71846889695638,-1,0.013028154509573777,-100.76172707822383,17.544748218569367,0.49753323646648184,0.5024667635335182,奇数・偶数倍音混合（偶数優勢）,反粒子側（負周回）,-0.19702324400398358,-1/40,40,0.0061558297024311365,-0.0061558297024311365,4.0052036240769086e-07,0.0006328667809323624,0.021415977512104507,1.3989882218860141,1.429276724439396,1.4716993502715332,40,40,,奇数・偶数倍音の混合スピン型,1,5.347669913485541e-19,3.9463138634168074e-16,True
W0014,14,"(1,15)",0.03521789638732792,-131.3743012818868,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.008449447034491341,-33.57916688684896,-6,0.011918857568705922,3.664473363850654,18.347332217270516,0.479877762177788,0.5201222378222121,奇数・偶数倍音混合（偶数優勢）,反粒子側（負周回）,-0.15295373829395634,-3/20,20,0.20610737385376346,-0.20610737385376346,3.4924093292642494e-07,0.0005909661013344378,0.0661908555086437,1.3666083158618318,1.460267684713076,1.3304386193526891,40,40,,奇数・偶数倍音の混合スピン型,1,1.3038806013683968e-19,1.0512620848482123e-16,True
W0015,15,"(1,16)",0.03645504868296459,48.62569871811313,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.0025805251006630553,-175.91139107797358,-12,0.013489788145624444,123.08145114671177,15.855463215257846,0.4808600815799902,0.5191399184200097,奇数・偶数倍音混合（偶数優勢）,粒子側（正周回）,0.11898729035290709,-3/10,10,0.6545084971874737,0.6545084971874737,3.817144500194135e-07,0.0006178304379191863,0.05028711980216541,1.3781965608706435,1.4493357925630383,1.4624140110832686,40,40,,奇数・偶数倍音の混合スピン型,1,1.1519648082658485e-19,8.668098680205269e-17,True
W0016,16,"(1,17)",0.03625669761338353,48.62569871811313,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.00761839943305627,-41.165144223723814,15,0.010682152710996488,58.18072407971616,22.91580765556668,0.6805435965921359,0.31945640340786396,奇数・偶数倍音混合（奇数優勢）,粒子側（正周回）,0.00330432766477101,3/8,8,0.8535533905932737,0.8535533905932737,3.587403143447563e-07,0.0005989493420521942,-0.33549685115467753,1.634317503519238,1.152825354375347,1.1621711992831083,40,40,,奇数・偶数倍音の混合スピン型,1,7.666467083416871e-20,5.832017068157242e-17,True
W0017,17,"(1,18)",0.03669346379938269,-41.37430128188682,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.0037141190753593434,33.733394913463634,-8,0.015053434143482947,36.08488941486253,15.61108437338424,0.5417932400559876,0.4582067599440124,奇数・偶数倍音混合（奇数優勢）,反粒子側（負周回）,-0.20235130785701574,-1/5,5,0.3454915028125263,-0.3454915028125263,4.037392839987264e-07,0.0006354048189923699,-0.056857540908614355,1.4538621261375606,1.3734208816611067,1.528758237080093,40,40,,奇数・偶数倍音の混合スピン型,1,6.16474745496571e-20,4.57865445690208e-17,True
W0018,18,"(1,19)",0.03455835537862578,48.625698718113135,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.0026388192733408002,-148.74527256971498,-12,0.014093599878667694,-45.16119023156731,13.924588420352917,0.29828927446778364,0.7017107255322164,奇数・偶数倍音混合（偶数優勢）,反粒子側（負周回）,-0.1172858696290149,-3/10,10,0.6545084971874737,-0.6545084971874737,2.4521170598839094e-07,0.0004951885559949775,0.4103706564776856,1.0859367785670715,1.6795062705912627,1.3406695307657048,40,40,,奇数・偶数倍音の混合スピン型,1,9.040663226810972e-20,7.56997000987209e-17,True
W0019,19,"(1,20)",0.03585668529437424,48.625698718113185,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.001191657835267551,-143.93179958732762,-17,0.011430684698870418,-48.43980706474085,22.45427785852132,0.4789185769062314,0.5210814230937685,奇数・偶数倍音混合（偶数優勢）,反粒子側（負周回）,-0.04193535179704923,-17/40,40,0.9455032620941839,-0.9455032620941839,3.74937540080763e-07,0.0006123214352615488,0.07190518330788856,1.362420505344889,1.4641756611198593,1.5492476522110241,40,40,,奇数・偶数倍音の混合スピン型,1,1.1579284277996941e-19,9.00619689169074e-17,True
W0020,20,"(1,21)",0.03464839821755897,48.62569871811325,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.005467546438224371,26.945741302683306,-2,0.01413010654861472,99.47353134476482,15.802184177231993,0.43411580133350197,0.5658841986664981,奇数・偶数倍音混合（偶数優勢）,反粒子側（負周回）,-0.0756945469675677,-1/20,20,0.024471741852423214,-0.024471741852423214,3.285044350213136e-07,0.00057315306421698,0.14288376571214462,1.3092870077166852,1.511875501297739,1.7791211961788733,40,40,,奇数・偶数倍音の混合スピン型,1,4.338925755574552e-19,3.6142308999414177e-16,True
W0021,21,"(1,22)",0.036053789842763466,48.6256987181132,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.004473133930811495,-23.58593239835048,2,0.01160963493034805,-93.31061229480213,20.42504889407062,0.47146128322034836,0.5285387167796516,奇数・偶数倍音混合（偶数優勢）,粒子側（正周回）,0.05700807911695075,1/20,20,0.024471741852423214,0.024471741852423214,3.4735574545580567e-07,0.0005893689383194585,0.07379494075366123,1.3610327396843467,1.4654657558289526,1.406493399613538,40,40,,奇数・偶数倍音の混合スピン型,1,1.7670333526483595e-19,1.359386338502099e-16,True
W0022,22,"(1,23)",0.035799835871133924,48.62569871811319,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.006075633738388957,-149.49217977961268,-7,0.014024911757052998,-87.22512478286598,17.33388459168189,0.579408107656489,0.4205918923435111,奇数・偶数倍音混合（奇数優勢）,反粒子側（負周回）,-0.003207673784575394,-7/40,40,0.2730047501302265,-0.2730047501302265,3.8719402763214096e-07,0.0006222491684463234,-0.14476062428813102,1.5131164028508388,1.3078527254334633,1.4232420562515167,40,40,,奇数・偶数倍音の混合スピン型,1,2.3395289207479945e-19,1.825434890084904e-16,True
W0023,23,"(1,24)",0.0366223529689854,48.62569871811318,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.00441530624698033,31.302313564695517,14,0.011311455961962114,-101.01964572687822,22.447450383461902,0.3938025280656188,0.6061974719343812,奇数・偶数倍音混合（偶数優勢）,粒子側（正周回）,0.011225663894605904,7/20,20,0.7938926261462367,0.7938926261462367,4.027393363997414e-07,0.0006346174724979934,0.23575445652101634,1.2363215952809232,1.5721033404461784,1.5150667126650352,40,40,,奇数・偶数倍音の混合スピン型,1,2.5785441477389063e-19,1.922569654870726e-16,True
W0024,24,"(1,25)",0.03549386870429492,138.62569871811328,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.0028152883642547305,157.168939740722,-2,0.010489790594449244,-65.87069188774117,20.449424943839155,0.5205651711583531,0.47943482884164684,奇数・偶数倍音混合（奇数優勢）,粒子側（正周回）,0.26930007508358395,-1/20,20,0.024471741852423214,0.024471741852423214,3.581445802535485e-07,0.0005984518194922199,-0.03987517873093022,1.4421339596105003,1.385730725118751,1.4127619502005213,40,40,,奇数・偶数倍音の混合スピン型,1,1.1579284277996941e-19,9.191259742114605e-17,True
W0025,25,"(1,26)",0.03625862234870706,138.6256987181132,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.002600390298870071,46.22317147656033,-17,0.01016140323092708,110.22698492370046,22.265346514390295,0.43782674551760764,0.5621732544823923,奇数・偶数倍音混合（偶数優勢）,粒子側（正周回）,0.03170018330581563,-17/40,40,0.9455032620941839,0.9455032620941839,3.596644438453857e-07,0.000599720304679928,0.13532270788680972,1.3150492706459258,1.5068660908566558,1.3887607218314595,40,40,,奇数・偶数倍音の混合スピン型,1,4.404180370088141e-19,3.349982195840437e-16,True
W0026,26,"(1,27)",0.03511646494007207,48.62569871811318,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.008093775013268984,144.86033658738404,-17,0.011442247276572549,-90.50163764482103,17.51701659497106,0.5781665314563671,0.42183346854363285,奇数・偶数倍音混合（奇数優勢）,反粒子側（負周回）,-0.013649252524719744,-17/40,40,0.9455032620941839,-0.9455032620941839,3.654275815091657e-07,0.0006045060640797293,-0.14691929816024255,1.5145423719132076,1.306201134465713,1.2974648240581552,40,40,,奇数・偶数倍音の混合スピン型,1,1.9501634507504265e-19,1.5814280291311574e-16,True
