波ID,関係ID,関係辺,波振幅,親位相度,標本数N,波の構成,非直流成分数,非直流次数一覧,基本波成分数,倍音数,倍音次数一覧,基本波振幅,基本波位相度,最大強度倍音次数,最大強度倍音振幅,最大強度倍音位相度,実効非直流成分数,奇数倍音強度比,偶数倍音強度比,B/F読出し,粒子反粒子読出し,正負周回偏極,最大強度倍音住所,有限回帰次数,住所電荷量,符号付き住所電荷量,質量二乗型Gram量,質量型sqrtGram量,半周重なり実部,半周同符号残差,半周反符号残差,半周二次量残差,状態回帰次数,二次量回帰次数,半周期被覆比,スピン型読出し,相関寿命型量標本,零閉塞絶対残差,零閉塞相対残差,零閉塞成立
W0306,306,"(9,31)",0.033932583719998806,138.62569871811314,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.003892649903468695,124.2285885393147,-2,0.010649343742439966,146.48031042194677,21.108485729568944,0.4360454966475751,0.5639545033524248,奇数・偶数倍音混合（偶数優勢）,反粒子側（負周回）,-0.1186426855113478,-1/20,20,0.024471741852423214,-0.024471741852423214,2.9771752337692046e-07,0.0005456349726483086,0.145807013859009,1.3070523984454419,1.5138077908763774,1.324529680901136,40,40,,奇数・偶数倍音の混合スピン型,1,1.6389595060956334e-19,1.4234242652047353e-16,True
W0307,307,"(9,32)",0.03632358893927096,-131.37430128188691,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.008225416032580403,76.85110959542239,-12,0.011423070620657587,-7.356562231755932,22.309136603474688,0.5035943903243956,0.49640560967560454,奇数・偶数倍音混合（奇数優勢）,反粒子側（負周回）,-0.05611190566260206,-3/10,10,0.6545084971874737,-0.6545084971874737,3.8683650979122044e-07,0.0006219618234194285,0.005356083256651531,1.4104211546508714,1.4179958273962947,1.7686966710426515,40,40,,奇数・偶数倍音の混合スピン型,1,1.2064794296232988e-19,9.144130534053841e-17,True
W0308,308,"(9,33)",0.03552516169493882,-131.37430128188686,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.0063199869586184005,-113.01953856032783,2,0.01044735581588903,-85.6232273874281,22.732197494382284,0.420242384248046,0.5797576157519541,奇数・偶数倍音混合（偶数優勢）,粒子側（正周回）,0.14199198175422223,1/20,20,0.024471741852423214,0.024471741852423214,3.4556290541128106e-07,0.0005878459878329366,0.1847298490242602,1.2769261145232642,1.5393049399155845,1.496255455908801,40,40,,奇数・偶数倍音の混合スピン型,1,8.571370772892337e-20,6.7916946986214e-17,True
W0309,309,"(9,34)",0.03725959280073252,-131.37430128188686,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.011642787386924295,-153.11213309129025,1,0.011642787386924295,-153.11213309129025,19.733711891034257,0.6007527620540132,0.3992472379459869,奇数・偶数倍音混合（奇数優勢）,反粒子側（負周回）,-0.20183342026843074,1/40,40,0.0061558297024311365,-0.0061558297024311365,4.044182446983596e-07,0.0006359388686802841,-0.1910295893875396,1.5433921014360152,1.271983027097815,1.3952530304300514,40,40,,奇数・偶数倍音の混合スピン型,1,4.370558682921689e-19,3.148188638149415e-16,True
W0310,310,"(9,35)",0.03405089820542827,-41.37430128188692,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.001438496163695418,43.72106248607819,2,0.01211957954508759,-65.53891909480082,18.93094668134734,0.388881862633625,0.6111181373663749,奇数・偶数倍音混合（偶数優勢）,反粒子側（負周回）,-0.04664432002107633,1/20,20,0.024471741852423214,-0.024471741852423214,3.051910014658975e-07,0.0005524409483971092,0.2450713725285141,1.228762489231736,1.5780186136598733,1.3060724897191751,40,40,,奇数・偶数倍音の混合スピン型,1,1.3552527156068805e-19,1.1688617352257792e-16,True
W0311,311,"(9,36)",0.03574155428040239,48.625698718113135,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.0023257304175723676,106.1077527120492,-4,0.012437678413177415,141.43301996175668,19.778037536713825,0.5408008757937229,0.4591991242062771,奇数・偶数倍音混合（奇数優勢）,反粒子側（負周回）,-0.001305181366378047,-1/10,10,0.09549150281252627,-0.09549150281252627,3.86385464987134e-07,0.0006215991191975211,-0.07756624705898284,1.4680369525723682,1.3582589980861655,1.5983618126226793,40,40,,奇数・偶数倍音の混合スピン型,1,2.5300067356060514e-19,1.9804998242953304e-16,True
W0312,312,"(9,37)",0.03393069113745992,138.625698718113,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.007995950720900796,61.235853803715806,5,0.009461567285434522,144.31132271866386,22.8672029540145,0.45474818303057046,0.5452518169694295,奇数・偶数倍音混合（偶数優勢）,反粒子側（負周回）,-0.09105070038684644,1/8,8,0.14644660940672624,-0.14644660940672624,2.742197482969086e-07,0.0005236599548341544,0.09496838500636665,1.345385903741847,1.4798434951077537,1.4653035461320785,40,40,,奇数・偶数倍音の混合スピン型,1,1.8973538018496328e-19,1.6480216397731095e-16,True
W0313,313,"(9,38)",0.03466839221746097,138.6256987181131,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.0024477646852063438,76.2209007978985,-9,0.009487021238895466,26.801460866434105,24.6983060270631,0.5647445551074516,0.4352554448925484,奇数・偶数倍音混合（奇数優勢）,反粒子側（負周回）,-0.15366557313678458,-9/40,40,0.4217827674798846,-0.4217827674798846,3.030993994223531e-07,0.0005505446389007463,-0.1104658803307554,1.4902790881782886,1.3338171686323765,1.1944728096531878,40,40,,奇数・偶数倍音の混合スピン型,1,1.8606983111606968e-19,1.5481340435825026e-16,True
W0314,314,"(9,39)",0.035693145377681444,48.625698718113135,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.004091822767031052,-94.0376090640289,17,0.013994839305911248,122.3123572101678,16.734582653288697,0.5150095972179344,0.4849904027820656,奇数・偶数倍音混合（奇数優勢）,粒子側（正周回）,0.1874136326772678,17/40,40,0.9455032620941839,0.9455032620941839,3.5538438541431655e-07,0.0005961412461944875,-0.02607303762697574,1.4325313522760856,1.3956553746344575,1.5836875345197892,40,40,,奇数・偶数倍音の混合スピン型,1,1.9779987670006067e-19,1.552588535009145e-16,True
W0315,315,"(9,40)",0.03557127673687971,48.62569871811308,40,基本波＋倍音,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1]",2,37,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2]",0.00552254280917258,116.95749277418605,8,0.0109054094792029,-167.15097253194298,19.76673764641867,0.4831975382254083,0.5168024617745917,奇数・偶数倍音混合（偶数優勢）,粒子側（正周回）,0.06559179456342686,1/5,5,0.3454915028125263,0.3454915028125263,3.819845168377026e-07,0.0006180489599034228,0.03686830060747962,1.3878989151898062,1.440047430196297,1.6209644050871659,40,40,,奇数・偶数倍音の混合スピン型,1,7.902413390062178e-20,6.245408328428174e-17,True
