K,m_a,m_b,K_factors,m_a_factors,m_b_factors,both_prime,gcd_ma_mb,coprime_exponents,gcd_K_ma,gcd_K_mb,order_a,order_b,gcd_orders,pair_order,cartesian_size,crt_independent,smallest_common_generator_exponent_d,reduced_a_over_d,reduced_b_over_d,pair_uses_full_ZK,pair_has_shorter_cycle,direct_integer_multiple
3,1,2,3,1,2,False,1,True,1,1,3,3,3,3,9,False,1,1,2,True,False,True
4,1,2,2^2,1,2,False,1,True,1,2,4,2,2,4,8,False,1,1,2,True,False,True
4,1,3,2^2,1,3,False,1,True,1,1,4,4,4,4,16,False,1,1,3,True,False,True
4,2,3,2^2,2,3,True,1,True,2,1,2,4,2,4,8,False,1,2,3,True,False,False
5,1,2,5,1,2,False,1,True,1,1,5,5,5,5,25,False,1,1,2,True,False,True
5,1,3,5,1,3,False,1,True,1,1,5,5,5,5,25,False,1,1,3,True,False,True
5,1,4,5,1,2^2,False,1,True,1,1,5,5,5,5,25,False,1,1,4,True,False,True
5,2,3,5,2,3,True,1,True,1,1,5,5,5,5,25,False,1,2,3,True,False,False
5,2,4,5,2,2^2,False,2,False,1,1,5,5,5,5,25,False,1,2,4,True,False,True
5,3,4,5,3,2^2,False,1,True,1,1,5,5,5,5,25,False,1,3,4,True,False,False
6,1,2,2*3,1,2,False,1,True,1,2,6,3,3,6,18,False,1,1,2,True,False,True
6,1,3,2*3,1,3,False,1,True,1,3,6,2,2,6,12,False,1,1,3,True,False,True
6,1,4,2*3,1,2^2,False,1,True,1,2,6,3,3,6,18,False,1,1,4,True,False,True
6,1,5,2*3,1,5,False,1,True,1,1,6,6,6,6,36,False,1,1,5,True,False,True
6,2,3,2*3,2,3,True,1,True,2,3,3,2,1,6,6,True,1,2,3,True,False,False
6,2,4,2*3,2,2^2,False,2,False,2,2,3,3,3,3,9,False,2,1,2,False,True,True
6,2,5,2*3,2,5,True,1,True,2,1,3,6,3,6,18,False,1,2,5,True,False,False
6,3,4,2*3,3,2^2,False,1,True,3,2,2,3,1,6,6,True,1,3,4,True,False,False
6,3,5,2*3,3,5,True,1,True,3,1,2,6,2,6,12,False,1,3,5,True,False,False
6,4,5,2*3,2^2,5,False,1,True,2,1,3,6,3,6,18,False,1,4,5,True,False,False
7,1,2,7,1,2,False,1,True,1,1,7,7,7,7,49,False,1,1,2,True,False,True
7,1,3,7,1,3,False,1,True,1,1,7,7,7,7,49,False,1,1,3,True,False,True
7,1,4,7,1,2^2,False,1,True,1,1,7,7,7,7,49,False,1,1,4,True,False,True
7,1,5,7,1,5,False,1,True,1,1,7,7,7,7,49,False,1,1,5,True,False,True
7,1,6,7,1,2*3,False,1,True,1,1,7,7,7,7,49,False,1,1,6,True,False,True
7,2,3,7,2,3,True,1,True,1,1,7,7,7,7,49,False,1,2,3,True,False,False
7,2,4,7,2,2^2,False,2,False,1,1,7,7,7,7,49,False,1,2,4,True,False,True
7,2,5,7,2,5,True,1,True,1,1,7,7,7,7,49,False,1,2,5,True,False,False
7,2,6,7,2,2*3,False,2,False,1,1,7,7,7,7,49,False,1,2,6,True,False,True
7,3,4,7,3,2^2,False,1,True,1,1,7,7,7,7,49,False,1,3,4,True,False,False
7,3,5,7,3,5,True,1,True,1,1,7,7,7,7,49,False,1,3,5,True,False,False
7,3,6,7,3,2*3,False,3,False,1,1,7,7,7,7,49,False,1,3,6,True,False,True
7,4,5,7,2^2,5,False,1,True,1,1,7,7,7,7,49,False,1,4,5,True,False,False
7,4,6,7,2^2,2*3,False,2,False,1,1,7,7,7,7,49,False,1,4,6,True,False,False
7,5,6,7,5,2*3,False,1,True,1,1,7,7,7,7,49,False,1,5,6,True,False,False
8,1,2,2^3,1,2,False,1,True,1,2,8,4,4,8,32,False,1,1,2,True,False,True
8,1,3,2^3,1,3,False,1,True,1,1,8,8,8,8,64,False,1,1,3,True,False,True
8,1,4,2^3,1,2^2,False,1,True,1,4,8,2,2,8,16,False,1,1,4,True,False,True
8,1,5,2^3,1,5,False,1,True,1,1,8,8,8,8,64,False,1,1,5,True,False,True
