E_mean,E_std,R_mean,R_std,case,gauge_count,p_mean,p_std,particle,stage,t_mean,t_std
0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,baseline_default,8,0.999999999999998,7.685538434122802e-15,A,initial,-0.2,0.0002500000000000002
0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,baseline_default,8,0.999999999999998,7.685538434122802e-15,A,pre_collision,-0.015999999999999848,0.0002500000000000002
0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,baseline_default,8,0.999999999999998,7.685538434122802e-15,A,collision_cell,-0.014999999999999847,0.0002500000000000002
0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,baseline_default,8,-0.9999999999999977,8.64005702460376e-15,A,collision_map,-0.014999999999999847,0.0002500000000000002
0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,baseline_default,8,-0.9999999999999977,8.64005702460376e-15,A,post_collision,-0.013999999999999846,0.0002500000000000002
0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,baseline_default,8,-0.9999999999999977,8.64005702460376e-15,A,final,0.20000000000000032,0.0002500000000000002
0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,baseline_default,8,-0.9999999999999977,8.64005702460376e-15,B,initial,-0.2,0.0002500000000000002
0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,baseline_default,8,-0.9999999999999977,8.64005702460376e-15,B,pre_collision,-0.015999999999999848,0.0002500000000000002
0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,baseline_default,8,-0.9999999999999977,8.64005702460376e-15,B,collision_cell,-0.014999999999999847,0.0002500000000000002
0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,baseline_default,8,0.999999999999998,7.685538434122802e-15,B,collision_map,-0.014999999999999847,0.0002500000000000002
0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,baseline_default,8,0.999999999999998,7.685538434122802e-15,B,post_collision,-0.013999999999999846,0.0002500000000000002
