E_max_abs_error,E_preservation_error_A,E_preservation_error_B,R_max_abs_error,R_max_gauge_std,R_preservation_error_A,R_preservation_error_B,case,case_valid,closure_residual_abs,gauge_count,multigauge_used,p_max_abs_error,p_reflection_error_A,p_reflection_error_B,separation_ratio_time
2.2315482794965646e-14,0.0,0.0,4.440892098500626e-16,2.220446049250313e-16,0.0,0.0,baseline_default,True,0.0,8,True,2.5202062658991053e-14,3.3306690738754696e-16,3.3306690738754696e-16,3.6838616474030686e-30
2.1471713296250527e-13,2.220446049250313e-16,2.220446049250313e-16,5.773159728050814e-15,1.77758999250913e-15,0.0,0.0,phase_center_grid,True,0.0,45,True,2.313704783318826e-13,3.6415315207705135e-14,3.419486915845482e-14,2.8276279738980642e-28
6.550315845288424e-14,0.0,0.0,4.440892098500626e-16,2.5639502485114184e-16,0.0,0.0,width_gain_grid,True,0.0,36,True,1.0469403122215226e-13,1.4432899320127035e-15,1.4432899320127035e-15,4.911838467416816e-30
3.0331293032759277e-13,0.0,0.0,1.5765166949677223e-14,5.288392122597181e-15,0.0,0.0,near_lobe_offset,True,0.0,25,True,3.0331293032759277e-13,5.6066262743570405e-14,7.349676423018536e-14,1.3338999651354898e-27
1.3566925360919413e-13,0.0,0.0,1.1102230246251565e-14,2.5727487310015434e-15,0.0,0.0,mixed_readout_grid,True,0.0,16,True,1.603162047558726e-13,1.4432899320127035e-14,8.326672684688674e-15,1.0176441594089155e-27
