sweep_region,R,T,Delta_F,q_out_factor,q_out_factor_diagnostic,q_out_factor_applied,full_two_channel_scattering_used_rate,max_scattering_unitarity_error,max_Q_closed_abs,harmonic_case_count,c1_case_count,harmonic_valid_rate_all,harmonic_valid_rate_nonstrong,harmonic_valid_rate_strong,fermionic_regular_cell_harmonic_consistent_all_cases,fermionic_regular_cell_harmonic_consistent_nonstrong_modes,fermionic_strong_readout_perturbs_harmonic_projection,fermionic_max_f_AB_projection_error_regular_nonstrong,fermionic_max_f_AB_projection_error_regular_strong,readout_off_decay_max_abs,readout_strong_decay_min_abs,c1_area_valid_rate,c1_calibrated_rate,c1_readout_off_max_epsilon_c_abs,fermionic_c1_area_sweep_detected_all_cases,tau_is_step_used_any,external_c_used_any,f_A_or_f_B_used_any,f_consistency_tol,c_tol,distance_to_R_137,distance_to_R_128_nominal,score_C,stability_depth,classification_C
coarse,0.748,0.25199999999999995,2.089782425950128,-0.49600000000000005,-0.49600000000000005,False,1.0,6.245004513516506e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.2784750747950754e-06,9.04072350700334e-06,4.4544900995234305e-18,0.000400040005334092,1.0,0.25,1.3322676295501878e-15,True,False,False,False,3e-06,5e-12,0.05082212087175264,0.06132853432887497,0.9953872204173,0.002007939378489372,flat
coarse,0.7481,0.2518999999999999,2.0900127702697837,-0.4962000000000002,-0.4962000000000002,False,1.0,4.163336342344337e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.2784772350443566e-06,9.040824602369441e-06,4.4544900995234305e-18,0.000400040005334092,1.0,0.25,1.1102230246251565e-15,True,False,False,False,3e-06,5e-12,0.05092212087175263,0.06142853432887496,0.9953873981550247,0.0020078618302703326,flat
coarse,0.7482,0.25180000000000013,2.0902431449175283,-0.49639999999999995,-0.49639999999999995,False,1.0,6.245004513516506e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.278479274728574e-06,9.040966850921544e-06,4.4544900995234305e-18,0.00040004000533409265,1.0,0.25,1.1102230246251565e-15,True,False,False,False,3e-06,5e-12,0.05102212087175262,0.06152853432887495,0.9953875659730127,0.0020077886101149216,flat
coarse,0.7483,0.25170000000000003,2.0904735499175775,-0.49659999999999993,-0.49659999999999993,False,1.0,5.551115123125783e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.2784811935940354e-06,9.041108638366732e-06,4.4544900995234305e-18,0.000400040005334092,1.0,0.25,1.1102230246251565e-15,True,False,False,False,3e-06,5e-12,0.05112212087175261,0.06162853432887494,0.9953877238504025,0.002007719727122883,flat
coarse,0.7484,0.25160000000000005,2.0907039852941667,-0.49680000000000013,-0.49680000000000013,False,1.0,6.245004513516506e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.278482991869654e-06,9.041249964364322e-06,5.090845828026778e-18,0.00040004000533409265,1.0,0.25,1.1102230246251565e-15,True,False,False,False,3e-06,5e-12,0.0512221208717526,0.06172853432887493,0.995387871806039,0.0020076551730700332,flat
coarse,0.7485,0.2515,2.090934451071554,-0.49700000000000016,-0.49700000000000016,False,1.0,8.326672684688674e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.278484669293955e-06,9.041390828926551e-06,4.4544900995234305e-18,0.00040004000533409265,1.0,0.25,1.1102230246251565e-15,True,False,False,False,3e-06,5e-12,0.0513221208717527,0.06182853432887503,0.9953880098184194,0.002007594957336306,flat
coarse,0.7486,0.2513999999999999,2.091164947274022,-0.49720000000000014,-0.49720000000000014,False,1.0,6.245004513516506e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.278486225916781e-06,9.041531231599275e-06,3.818134371020083e-18,0.00040004000533409265,1.0,0.25,1.2212453270876722e-15,True,False,False,False,3e-06,5e-12,0.051422120871752686,0.06192853432887502,0.9953881378916537,0.002007539078126559,flat
coarse,0.7487,0.2513000000000001,2.091395473925873,-0.49739999999999995,-0.49739999999999995,False,1.0,6.245004513516506e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.2784876617158253e-06,9.041671172519076e-06,4.4544900995234305e-18,0.00040004000533409265,1.0,0.25,1.2212453270876722e-15,True,False,False,False,3e-06,5e-12,0.051522120871752675,0.06202853432887501,0.9953882560239157,0.002007487536236002,flat
coarse,0.7488,0.25119999999999987,2.091626031051435,-0.49760000000000004,-0.49760000000000004,False,1.0,5.551115123125783e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.2784889765083715e-06,9.041810651299923e-06,3.818134371020083e-18,0.000400040005334092,1.0,0.25,1.3322676295501878e-15,True,False,False,False,3e-06,5e-12,0.051622120871752664,0.062128534328874996,0.99538836420018,0.0020074403382187335,flat
coarse,0.7489,0.25110000000000005,2.0918566186750547,-0.49779999999999996,-0.49779999999999996,False,1.0,4.163336342344337e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.2784901704002553e-06,9.041949667731481e-06,3.818134371020083e-18,0.00040004000533409265,1.0,0.25,1.2212453270876722e-15,True,False,False,False,3e-06,5e-12,0.05172212087175265,0.062228534328874985,0.995388462429162,0.0020073974802707196,flat
