step,entropy,entropy_over_lnM,p_min,p_max
0,2.244370192857954,0.9747175901063464,0.0833333333333333,0.21428571428571466
1,2.2443701928579536,0.9747175901063463,0.08333333333333319,0.21428571428571497
2,2.244370192857953,0.9747175901063461,0.08333333333333307,0.21428571428571508
3,2.2443701928579536,0.9747175901063463,0.08333333333333319,0.21428571428571486
4,2.2443701928579536,0.9747175901063463,0.08333333333333322,0.2142857142857147
5,2.244370192857954,0.9747175901063464,0.0833333333333333,0.21428571428571463
6,2.244370192857954,0.9747175901063464,0.08333333333333318,0.21428571428571458
7,2.244370192857954,0.9747175901063464,0.08333333333333329,0.2142857142857143
8,2.244370192857955,0.9747175901063468,0.0833333333333334,0.2142857142857139
9,2.244370192857955,0.9747175901063468,0.08333333333333333,0.2142857142857139
10,2.244370192857955,0.9747175901063468,0.08333333333333326,0.2142857142857136
11,2.244370192857955,0.9747175901063468,0.08333333333333337,0.21428571428571355
12,2.244370192857955,0.9747175901063468,0.0833333333333331,0.21428571428571352
13,2.244370192857955,0.9747175901063468,0.08333333333333302,0.21428571428571358
14,2.244370192857954,0.9747175901063464,0.08333333333333252,0.21428571428571394
15,2.2443701928579545,0.9747175901063466,0.08333333333333248,0.21428571428571397
16,2.244370192857954,0.9747175901063464,0.08333333333333262,0.2142857142857139
17,2.2443701928579545,0.9747175901063466,0.08333333333333273,0.21428571428571383
18,2.244370192857955,0.9747175901063468,0.08333333333333293,0.2142857142857137
19,2.2443701928579545,0.9747175901063466,0.08333333333333293,0.21428571428571386
20,2.2443701928579545,0.9747175901063466,0.08333333333333276,0.21428571428571397
21,2.2443701928579545,0.9747175901063466,0.08333333333333279,0.21428571428571414
22,2.2443701928579545,0.9747175901063466,0.08333333333333284,0.214285714285714
23,2.2443701928579545,0.9747175901063466,0.08333333333333302,0.2142857142857138
24,2.244370192857955,0.9747175901063468,0.0833333333333331,0.21428571428571383
25,2.2443701928579545,0.9747175901063466,0.08333333333333316,0.2142857142857138
