seed,parent_residual,cluster_sse,family_A_modulus,family_B_modulus,relative_phase_rad,relative_phase_mod_pi_rad,groups,opposite_pairing
0,0.4868999851906584,1.8806837512151155e-11,0.08596491227840974,0.08596491225684165,3.0639595608180343,-0.07763309277175878,"[(0, 6, 7), (3, 4, 5), (1, 9), (2, 8)]","((0, 1), (2, 3))"
1,0.48689998519066346,3.1742620131344254e-11,0.08596491227751223,0.08596491223940962,3.063083220467103,-0.0785094331226901,"[(1, 5, 9), (2, 6, 7), (0, 8), (3, 4)]","((0, 1), (2, 3))"
2,0.48689998519066485,4.649703777952641e-10,0.08596491216504193,0.08596491177841883,-0.06723318353664798,-0.06723318353664798,"[(0, 3, 7), (1, 2, 6), (4, 9), (5, 8)]","((0, 1), (2, 3))"
3,0.486899985190661,1.0304774438871667e-14,0.0859649122809208,0.0859649122803848,-0.7099852699673121,-0.7099852699673121,"[(0, 5, 8), (2, 4, 6), (1, 9), (3, 7)]","((0, 1), (2, 3))"
4,3.023577133360542e-12,8.509867343966428e-24,0.10000000000012169,0.10000000000012216,-3.398437087298589e-11,-3.398437087298589e-11,"[(0, 6, 9), (3, 5, 8), (1, 7), (2, 4)]","((0, 1), (2, 3))"
5,0.4868999851906579,2.5808167041187585e-11,0.08596491227568523,0.08596491225074533,3.0685338994764715,-0.07305875411332163,"[(1, 5, 8), (3, 4, 7), (0, 9), (2, 6)]","((0, 1), (2, 3))"
6,1.0791202063602357e-11,5.228913019557449e-25,0.09999999999961481,0.0999999999996146,-7.284395309170577e-12,-7.284395309170577e-12,"[(0, 7, 8), (1, 5, 9), (2, 6), (3, 4)]","((0, 1), (2, 3))"
7,7.839377192455303e-12,4.742966849792514e-24,0.09999999999989755,0.09999999999989732,-3.1415926535673733,2.241984375928041e-11,"[(0, 5, 8), (3, 6, 7), (1, 9), (2, 4)]","((0, 3), (1, 2))"
8,0.4868999851906632,3.3139277939954864e-07,0.08596464476385608,0.08596481546752187,-3.0995938886859777,0.04199876490381538,"[(0, 6, 7), (3, 4, 5), (1, 9), (2, 8)]","((0, 1), (2, 3))"
9,9.957196603532891e-14,7.071244787294499e-25,0.10000000000001157,0.10000000000001223,-8.744116541947733e-12,-8.744116541947733e-12,"[(0, 7, 9), (3, 4, 5), (1, 6), (2, 8)]","((0, 1), (2, 3))"
10,0.4868999851906605,1.1591479235069513e-16,0.08596491228060636,0.08596491228092257,0.6238413507940193,0.6238413507940193,"[(0, 1, 9), (2, 3, 4), (5, 8), (6, 7)]","((0, 1), (2, 3))"
11,0.486899985190662,3.117567943237124e-18,0.0859649122808781,0.08596491228048106,2.6509708236741973,-0.4906218299155958,"[(0, 8, 9), (3, 6, 7), (1, 5), (2, 4)]","((0, 1), (2, 3))"
12,0.5938343998510076,1.8778290391468186e-22,0.08643243823059453,0.08643243823067365,-0.08722089136276656,-0.08722089136276656,"[(2, 6, 8), (3, 4, 9), (0, 7), (1, 5)]","((0, 1), (2, 3))"
13,0.5938343998510056,3.858921644288087e-06,0.08642975824557295,0.08643086738299245,3.1249129889135228,-0.016679664676270356,"[(0, 2, 8), (3, 5, 7), (1, 6), (4, 9)]","((0, 1), (2, 3))"
14,0.5938343998510062,1.8754066460827313e-22,0.08643243823059589,0.0864324382306745,-0.08722089135880084,-0.08722089135880084,"[(0, 7, 8), (1, 4, 9), (2, 6), (3, 5)]","((0, 1), (2, 3))"
15,0.5938343998510075,1.8744435083850604e-22,0.08643243823060957,0.08643243823068868,3.0543717622246884,-0.08722089136510469,"[(0, 1, 9), (2, 3, 4), (5, 8), (6, 7)]","((0, 1), (2, 3))"
16,0.4868999851906615,1.6734583900915822e-06,0.08596349277132193,0.08596434279236538,0.034973329206708925,0.034973329206708925,"[(0, 3, 7), (1, 2, 6), (4, 9), (5, 8)]","((0, 1), (2, 3))"
17,0.48689998519065797,4.507634028903065e-16,0.08596491228071901,0.08596491228072849,3.0408871938838775,-0.1007054597059156,"[(0, 7, 8), (1, 4, 9), (2, 6), (3, 5)]","((0, 1), (2, 3))"
18,0.593834399851008,1.8715421834484135e-22,0.08643243823059896,0.08643243823067853,-0.08722089137112787,-0.08722089137112787,"[(1, 5, 8), (3, 4, 7), (0, 9), (2, 6)]","((0, 1), (2, 3))"
19,1.4208883347561115e-11,1.4800486834079102e-23,0.09999999999956594,0.09999999999956662,3.14159265353881,-5.098321764762659e-11,"[(0, 2, 6), (1, 4, 9), (3, 5), (7, 8)]","((0, 2), (1, 3))"
