tag,N,method,lines_parent,lines_final,z2_align_final,imB_over_reB,min_eig_rel,PSD,rank,n_distinct_lengths
hm_N10,10,hm,9,1,0.9999970785539529,3.4240980561631704e-06,-1.7065295317155257e-06,False,5,37
hm_N11,11,hm,5,1,0.9999967756626787,4.975999892691796e-06,-1.3989918214327938e-06,False,5,48
hm_N12,12,hm,11,1,0.9999961556176068,4.422340539773433e-06,-1.8316406047224995e-06,False,6,55
hm_N13,13,hm,6,1,0.9999989105910079,1.6738495040874246e-06,-7.579869491350234e-07,True,7,65
hm_N14,14,hm,13,1,0.9999958750725897,4.225296599554798e-06,-2.1984450925656855e-06,False,8,78
hm_N15,15,hm,7,1,0.9999955409389202,5.8826488667127836e-06,-1.902755261525402e-06,False,7,92
hm_N16,16,hm,15,1,0.9999985837685883,1.6691310858500726e-06,-5.889749671711967e-07,True,8,99
hm_N3,3,hm,3,3,0.3333333333334828,1.0000000000000009,-0.9999999999994155,False,1,1
hm_N4,4,hm,3,3,0.33333390040440114,1.0000008340823965,-0.7014585269834575,False,1,2
hm_N5,5,hm,2,2,0.6237350785396674,0.4930295677140357,-0.7537468390507119,False,2,2
hm_N6,6,hm,5,1,0.9990934060051722,0.0023766103318058813,-0.0007819978818828697,False,3,15
hm_N7,7,hm,3,1,0.9995788268920983,0.00046163408646506795,-0.0004590977759171981,False,4,21
hm_N8,8,hm,7,1,0.9999110594419297,0.00010058957012543538,-6.391539218777424e-05,False,4,27
hm_N9,9,hm,4,1,0.9998475612462863,0.0001879664450099454,-9.393412263355125e-05,False,5,35
mp_N10,10,mp,10,1,0.999999286679196,1.0149536253195417e-06,-3.336459232590275e-07,True,5,36
mp_N11,11,mp,10,1,0.9999996526173396,3.601061824615301e-07,-2.3236512282491948e-07,True,6,43
mp_N12,12,mp,13,1,0.9999992271878558,9.532984277498181e-07,-4.250131266244543e-07,True,5,55
mp_N13,13,mp,8,1,0.9999998278859444,2.1067648061231376e-07,-1.2381571878864507e-07,True,7,63
mp_N14,14,mp,14,1,0.9999994569360218,2.0621033843794946e-06,-5.608295625584445e-07,True,7,71
mp_N15,15,mp,8,1,0.9999997671576412,6.099622318436245e-07,-1.9085144792967054e-07,True,7,80
mp_N16,16,mp,6,1,0.9999991559343879,9.530401576449414e-07,-4.581435247870023e-07,True,8,97
mp_N3,3,mp,3,3,0.33333333408462346,0.9999999994982232,-0.9999999975846406,False,1,1
mp_N4,4,mp,3,3,0.33685714533854266,1.0004536127385677,-0.9458846023736696,False,1,3
mp_N5,5,mp,4,1,0.9999988505821259,0.0012167170632039783,-8.62004447800167e-07,True,2,10
mp_N6,6,mp,8,1,0.9999643337814174,4.1175828227731906e-05,-1.0627305482583104e-05,False,3,15
mp_N7,7,mp,16,1,0.9999818628012916,3.018681311964577e-05,-8.86424806796629e-06,False,4,21
mp_N8,8,mp,14,1,0.9999938354424767,7.254175458206955e-06,-2.80773441842906e-06,False,4,24
mp_N9,9,mp,21,1,0.9999846936652346,2.3730318938912425e-05,-5.950426279615401e-06,False,5,33
ne_N10,10,ne,9,1,0.9999999992886369,8.587928529495654e-10,-5.154374990247856e-10,True,1,18
ne_N11,11,ne,5,1,0.999999999856161,1.4777442659368126e-10,-7.405024967636223e-11,True,1,11
ne_N12,12,ne,11,1,0.9999999895967817,1.3527358928223844e-08,-5.1816376571373e-09,True,1,45
ne_N13,13,ne,6,1,0.9999969970827995,3.94230712683076e-06,-1.7128331724472046e-06,False,7,66
ne_N14,14,ne,13,1,0.9999999607591263,4.983449661433932e-08,-1.3609679773735824e-08,True,3,63
ne_N15,15,ne,7,1,0.9999999986907956,1.469980138037345e-09,-8.639473180247798e-10,True,1,28
ne_N16,16,ne,15,1,0.9999999428541589,9.025634641251208e-08,-4.342017861486369e-08,True,6,78
ne_N3,3,ne,3,2,0.5153145245192126,2.965255778282968,-2.3670462578687052e-17,True,2,3
ne_N4,4,ne,3,2,0.6245018240347143,0.3872637944245075,7.624298326342926e-17,True,3,6
ne_N5,5,ne,6,1,0.9999997259949119,0.00016257042067592,-2.432720478102441e-07,True,2,10
ne_N6,6,ne,5,1,0.9999999996406423,2.5388746942440765e-10,-9.612999074318956e-11,True,1,9
ne_N7,7,ne,13,1,0.9999999969540173,2.1106912462412444e-09,-1.7843317763268346e-09,True,1,16
ne_N8,8,ne,7,1,0.9999999976912353,2.6022832689146064e-09,-1.7115705233720236e-09,True,1,16
ne_N9,9,ne,4,1,0.9999998989442348,1.0635888044675028e-07,-7.439767490059281e-08,True,4,28
rb_N10,10,rb,15,1,0.999999999942496,6.779833215931908e-11,-3.6478995841617494e-11,True,1,8
rb_N11,11,rb,17,1,0.9999999998319224,2.1692602677605184e-10,-1.045457287074238e-10,True,1,13
rb_N12,12,rb,16,1,0.999999999660547,4.2439845903900573e-10,-2.3394160251136745e-10,True,1,18
rb_N13,13,rb,14,1,0.9999999998135044,2.3166621383911827e-10,-1.5154981880970512e-10,True,1,15
rb_N14,14,rb,13,1,0.9999999996575425,3.612618301538943e-10,-1.6175864591806156e-10,True,1,15
rb_N15,15,rb,8,1,0.9999999996795558,5.689224909521731e-10,-2.138717506037662e-10,True,1,20
rb_N16,16,rb,12,1,0.9999999998495387,2.9564359135733813e-10,-1.284744551096801e-10,True,1,14
rb_N5,5,rb,10,1,0.9999999133374331,0.00016573958560769036,-3.2797886239149896e-08,True,3,10
rb_N6,6,rb,9,1,0.999999999809297,2.7141538591573655e-10,-6.649538474825935e-11,True,1,9
rb_N7,7,rb,16,1,0.9999999990935576,1.8842727690934567e-09,-5.596092816653196e-10,True,1,15
rb_N8,8,rb,17,1,0.99999999956698,4.783565009159343e-10,-2.1819344508853057e-10,True,1,13
rb_N9,9,rb,17,1,0.9999999987865823,1.3623421511318518e-09,-7.067128665956854e-10,True,1,19
