tag,N,method,pred_kind,measured_kind,match,res_new_over_r2_parent,pred_rho_minus_1,pred_disp1,disp1_measured,unitarity,closure_max,closure_final,Hperp_frac_max,overlap_deficit_max,PR_over_M_final,clock_ratio_first200,growth_slope,growth_R2,final_residual_new_over_r2,landed_on_anchor,mu_ratio_final,mu_ratio_rational,mu_ratio_rational_err
hm_N10,10,hm,eq_inflating,inflating,True,1.4347497688622842e-15,0.0030488335449652126,,2.9802322387695312e-08,2.944459491042532e-12,0.9999999999999979,0.9999999999999977,0.9952507526335145,0.999951716030981,0.20000000000000137,1.0000000000000087,0.006101130779759572,0.9999911488721429,2.264060065840517e-06,False,-20.000000000046708,-20/1,4.6707526735190186e-11
hm_N11,11,hm,eq_inflating,inflating,True,8.992736477800847e-16,0.003844808708810765,,0.0,3.0091081141976735e-12,1.0000000000000004,1.0000000000000002,0.9997087893692237,0.9999899721846376,0.18181818181818174,1.0000000000000142,0.007690825714477182,0.9999912794972075,2.1318577761798836e-08,True,-24.750000000074397,-99/4,7.439737714776129e-11
hm_N12,12,hm,eq_inflating,inflating,True,1.376349131129905e-15,0.004730730595116306,,0.0,3.078143800456184e-12,1.0000000000000004,1.0,0.9990867051468799,0.9999986250537328,0.1666666666666667,1.000000000000004,0.00945869876534512,0.9999913548921145,1.4530260246885788e-10,True,-30.000000000082522,-30/1,8.252243333117804e-11
hm_N13,13,hm,eq_inflating,inflating,True,2.7792478444351097e-15,0.005706348344382883,,0.0,2.606291251193116e-12,1.0000000000000004,1.0000000000000002,0.9990212505016697,0.9999940368512225,0.15384615384615388,1.0000000000000087,0.011403668353597197,0.9999914802153048,7.079474222785353e-13,True,-35.750000000077925,-143/4,7.792522183081019e-11
hm_N14,14,hm,eq_inflating,inflating,True,1.9336820072789923e-15,0.0067713716756603315,,0.0,1.6997392504480968e-12,1.0000000000000004,0.9999999999999999,0.9960921168581836,0.9999990195050673,0.14285714285714288,1.0000000000000027,0.013524701856695378,0.9999915794974144,4.346684499272331e-13,True,-42.00000000005972,-42/1,5.972111694063642e-11
hm_N15,15,hm,eq_inflating,inflating,True,1.932384610732831e-15,0.00792548626908296,,2.5809568279517847e-08,2.0382425905804015e-12,1.0000000000000004,1.0,0.9985102026661458,0.9999798380542708,0.1333333333333333,1.0000000000000027,0.015820663007614495,0.9999916364139422,3.770309492038612e-13,True,-48.750000000097764,-195/4,9.776357501323218e-11
hm_N16,16,hm,eq_inflating,inflating,True,1.3781631967777632e-15,0.009168321888179065,,2.9802322387695312e-08,1.6311396677792792e-12,1.0000000000000004,1.0,0.9983589147120658,0.999133308181848,0.125,1.0000000000000058,0.018290010343536167,0.999991772269385,1.6990810475286988e-12,True,-56.00000000009136,-56/1,9.136158496403368e-11
hm_N3,3,hm,eq_neutral,held,True,5.876335767275001e-16,4.049828771979236e-05,,0.0,1.4938050796331477e-12,1.44885907551766e-13,9.916275416400113e-14,5.730409745107486e-27,6.661338147750939e-16,1.0,1.0000000000000044,,,2.462316359993307e-13,True,1.000000000001494,1/1,1.4939161019356106e-12
hm_N4,4,hm,eq_neutral,held,True,1.0951193343571875e-15,0.00016198369761699638,,0.0,6.245004513516504e-13,4.4142525639035725e-11,4.4142525639035725e-11,1.5379599927580465e-22,6.661338147750939e-16,1.0000000000000002,1.0000000000000195,,,2.1652574476115033e-10,True,1.0000000000002203,1/1,2.2026824808563106e-13
hm_N5,5,hm,eq_neutral,drifting,False,6.343988526814738e-16,0.00045631859570649524,,0.0,7.175926519664697e-13,1.736935597698151e-07,1.5271147243359975e-07,1.742857016560729e-21,8.104628079763643e-15,1.0,1.0000000000000078,,,1.2216916431329742e-06,False,1.0000000000005862,1/1,5.861977570020827e-13
hm_N6,6,hm,eq_neutral,drifting,False,8.174529809563441e-16,0.0007673326762398514,,1.4901161193847656e-08,9.243716903029051e-13,0.16223994801183902,0.16223994801183902,0.00011042193316758513,0.0067354877112338896,0.9834968608935325,0.999999999999992,0.00153455835009321,0.9999998312068457,1.4322258488869648,False,0.8851710591637534,8/9,0.0037178297251354575
hm_N7,7,hm,eq_inflating,inflating,True,1.8421300755217264e-15,0.0012023180200848582,,0.0,1.7806391282095194e-12,0.9998518599619041,0.9997802236397828,0.9880493784375017,0.9997335331448189,0.2858856207806262,1.000000000000005,0.002407932960088134,0.9999917090329151,0.29468576081221054,False,-8.745314586121102,-35/4,0.0046854138788976485
hm_N8,8,hm,eq_inflating,inflating,True,1.02425016741294e-15,0.001727490721168845,,0.0,3.672776368749251e-12,0.9999999314098915,0.9999998741980279,0.9951812813752885,0.9999719993358227,0.2500000745356873,1.0000000000000087,0.0034591873434260782,0.9999912127678167,0.00929893498801435,False,-11.999996608486613,-12/1,3.3915133865747293e-06
hm_N9,9,hm,eq_inflating,inflating,True,6.697462051601043e-16,0.0023430116622145114,,0.0,2.8049784717154576e-12,0.999999999978415,0.9999999999775738,0.9949416076770842,0.9998599365000513,0.22222222223812274,1.0000000000000042,0.004690334033540213,0.9999911368398899,0.00017557624179812494,False,-15.749999999036879,-63/4,9.631211383975824e-10
ne_N10,10,ne,non_equilibrium,inflating,True,0.7683749084919418,,0.0025956139437860364,0.0036707472009238507,4.367025259928899e-12,1.0000000000000002,1.0,0.9973433509946965,0.9999252759298373,0.19999999999999993,1.0000005411799404,0.6103900586727817,0.9269168441836244,3.711159990452502e-08,True,-16.9491525424469,-203/12,0.032485875780231765
ne_N11,11,ne,non_equilibrium,inflating,True,0.7683749084919428,,0.00259561394378604,0.0036707158662392728,3.654531223095215e-12,1.0000000000000004,1.0,0.9984053037869913,0.9999949879080084,0.1818181818181818,0.9993089435331102,0.6855400555635748,0.9363015431663122,1.3427788275902412e-10,True,-20.974576271261434,-21/1,0.025423728738566354
