tag,edge,omega,dtft_abs
mp_N3,0,0.0033781,2115.0361879098064
mp_N3,0,0.007661,0.2447513340762352
mp_N3,0,0.019363,0.007859899236049213
mp_N3,0,0.011283,0.0723739317008977
mp_N3,1,0.0033781,2115.036187909785
mp_N3,1,0.007661,0.24475147278377482
mp_N3,1,0.019363,0.007859571038774871
mp_N3,1,0.011283,0.0723739316469083
mp_N3,2,0.0033781,2115.0361879100237
mp_N3,2,0.007661,0.24475293059801906
mp_N3,2,0.019363,0.007859736506044488
mp_N3,2,0.011283,0.07237393109625057
mp_N3,-1,0.0033781,3.590454965924792e-10
mp_N3,-1,0.007661,3.063795286715888e-06
mp_N3,-1,0.019363,5.684594473357556e-07
mp_N3,-1,0.011283,1.152763069312173e-09
ne_N4,0,-0.0208989,2737.253273660198
ne_N4,0,0.015382,407.341211810881
ne_N4,0,0.010566,248.18462753324903
ne_N4,1,-0.0208989,2215.624829661852
ne_N4,1,0.015382,329.6330646935431
ne_N4,1,0.010566,201.20822379613426
ne_N4,2,-0.0208989,3402.7965840086345
ne_N4,2,0.015382,506.1912631126905
ne_N4,2,0.010566,309.59812293012436
ne_N4,3,-0.0208989,1383.5354689744615
ne_N4,3,0.015382,205.811175987575
ne_N4,3,0.010566,125.8788098632762
ne_N4,4,-0.0208989,2930.063869384461
ne_N4,4,0.015382,435.9248551842386
ne_N4,4,0.010566,266.0887975596986
ne_N4,5,-0.0208989,2450.131603215187
ne_N4,5,0.015382,364.6135291731048
ne_N4,5,0.010566,222.15152876161073
ne_N4,-1,-0.0208989,4744.635872445632
ne_N4,-1,0.015382,1511.661145306895
ne_N4,-1,0.010566,921.0087284555788
