tag,N,method,design,norm,amp_spread_rel,local_closed,roundness,pred_rho_minus_1,pred_lambda_f,pred_kind,pred_t50,f0,max_f,max_f_step,final_f,t50_measured,lambda_measured,lambda_ratio,fit_R2,late_log_slope_per_step,loglog_slope_1000_40000,measured_kind,prediction_agrees,final_PR_over_M,final_amp_min,final_amp_max,final_amp_std,init_amp_std,final_abs_ZTZ_over_H,Htotal_drift
mp_N3,3,mp,make_parent_equimodular_3stage,0.447214,9.657e-10,False,1.000,4.050e-05,0.00008,neutral,887601,4.50e-34,9.093e-19,38915,5.669e-19,,,,,-4.87e-06,0.29,floor,True,1.000,0.2582,0.2582,0.0000,0.0000,1.2e-09,8.1e-14
hm_N3,3,hm,handmade_equimodular_Z3,0.447214,4.163e-16,False,0.000,4.050e-05,0.00008,neutral,887599,1.98e-32,1.312e-26,40000,1.312e-26,,,,,1.07e-04,1.14,floor,True,1.000,0.2582,0.2582,0.0000,0.0000,2.9e-13,3.5e-13
ne_N3,3,ne,nonequimodular_manifold_point,0.447214,8.836e-01,False,0.242,1.045e-03,0.00209,inflating,34418,6.95e-35,7.095e-01,38232,2.808e-01,18420,0.00001,0.0063,0.00965,-1.01e-05,0.40,saturated,True,0.890,0.1998,0.3113,0.0456,0.0501,4.3e-01,3.8e-14
mp_N4,4,mp,make_parent_equimodular_3stage,0.816497,9.000e-10,True,0.000,4.499e-04,0.00090,neutral,79915,3.34e-32,1.736e-06,40000,1.736e-06,,0.00090,1.0000,1.00000,9.00e-04,10.59,floor,True,1.000,0.3315,0.3351,0.0015,0.0000,9.8e-03,1.3e-12
hm_N4,4,hm,handmade_equimodular_1factor,0.816497,0.000e+00,True,0.000,4.499e-04,0.00090,neutral,79916,3.70e-32,6.995e-14,40000,6.995e-14,,,,,9.00e-04,8.99,floor,True,1.000,0.3333,0.3333,0.0000,0.0000,2.0e-06,7.4e-13
ne_N4,4,ne,nonequimodular_manifold_point,0.816497,1.415e+00,False,0.350,7.644e-03,0.01523,inflating,4720,5.60e-33,9.846e-01,18587,4.528e-03,5098,0.00003,0.0016,0.04885,1.36e-05,-0.70,saturated,True,0.705,0.2025,0.4981,0.1015,0.0859,9.7e-01,3.1e-13
mp_N5,5,mp,make_parent_equimodular_3stage,0.927173,6.464e-10,False,0.226,2.553e-03,0.00510,inflating,14097,9.56e-32,9.988e-01,17782,9.902e-01,9163,0.00507,0.9950,0.99626,2.72e-09,9.59,saturated,True,0.400,0.0002,0.4639,0.2269,0.0000,1.0e+00,3.3e-12
hm_N5,5,hm,handmade_equimodular_distance_classes,0.927173,0.000e+00,True,0.000,7.586e-04,0.00152,neutral,47402,4.76e-69,2.222e-21,37831,1.980e-23,,,,,6.23e-05,3.67,floor,True,0.942,0.2543,0.3275,0.0366,0.0000,2.8e-01,2.7e-13
ne_N5,5,ne,nonequimodular_manifold_point,0.927173,4.626e-01,True,0.360,6.875e-03,0.01370,inflating,5246,1.97e-32,9.928e-01,2929,8.027e-01,475,0.19093,13.9335,0.85381,6.29e-09,0.01,saturated,True,0.400,0.0001,0.4637,0.2270,0.0215,1.0e+00,7.0e-13
rb_N5,5,rb,random_balanced_S0_Wconst,0.927173,9.146e-01,True,0.561,8.424e-03,0.01678,inflating,4285,1.22e-32,9.978e-01,9878,8.923e-01,254,0.31164,18.5761,0.88012,3.18e-09,0.05,saturated,True,0.400,0.0000,0.4636,0.2271,0.0433,1.0e+00,4.2e-13
mp_N6,6,mp,make_parent_equimodular_3stage,1.095445,8.352e-10,True,0.399,1.114e-03,0.00223,inflating,32295,2.10e-33,9.997e-01,28049,9.791e-01,24415,0.00225,1.0104,0.99973,5.80e-08,18.13,saturated,True,0.333,0.0014,0.4899,0.2300,0.0000,1.0e+00,2.6e-12
hm_N6,6,hm,handmade_equimodular_1factor,1.095445,0.000e+00,True,0.500,1.105e-03,0.00221,inflating,32556,2.99e-32,9.910e-01,32146,7.112e-01,30546,0.00221,1.0017,0.99999,6.71e-05,23.87,saturated,True,0.334,0.0037,0.4904,0.2256,0.0000,1.0e+00,1.8e-12
ne_N6,6,ne,nonequimodular_class_family_k2_eps0.6,1.095445,1.085e+00,True,0.743,3.851e-03,0.00769,inflating,9351,6.39e-37,9.951e-01,5234,8.809e-01,261,0.50168,65.2557,0.91193,4.91e-11,0.09,saturated,True,0.333,0.0000,0.4899,0.2309,0.0623,1.0e+00,3.3e-12
rb_N6,6,rb,random_balanced_S0_Wconst,1.095445,2.270e+00,True,0.346,6.207e-03,0.01238,inflating,5809,4.91e-32,9.973e-01,1909,9.499e-01,159,0.55200,44.6012,0.91953,3.33e-11,0.02,saturated,True,0.333,0.0000,0.4899,0.2309,0.1092,1.0e+00,3.9e-12
mp_N7,7,mp,make_parent_equimodular_3stage,1.176690,5.142e-10,True,0.682,1.186e-03,0.00237,inflating,30318,2.42e-33,9.987e-01,23389,9.748e-01,23056,0.00246,1.0367,0.99822,8.19e-08,20.00,saturated,True,0.286,0.0004,0.4804,0.2165,0.0000,1.0e+00,3.0e-12
hm_N7,7,hm,handmade_equimodular_distance_classes,1.176690,0.000e+00,True,0.000,1.176e-03,0.00235,inflating,30583,5.24e-32,9.929e-01,30419,9.380e-01,28555,0.00236,1.0020,0.99999,1.68e-06,24.13,saturated,True,0.286,0.0026,0.4804,0.2138,0.0000,1.0e+00,9.0e-13
ne_N7,7,ne,nonequimodular_manifold_point,1.176690,1.173e+00,True,0.348,3.812e-03,0.00761,inflating,9447,1.08e-32,9.987e-01,7054,8.857e-01,479,0.34867,45.8174,0.88665,2.29e-10,0.01,saturated,True,0.286,0.0000,0.4804,0.2170,0.0404,1.0e+00,4.3e-12
rb_N7,7,rb,random_balanced_S0_Wconst,1.176690,1.848e+00,True,0.544,4.050e-03,0.00808,inflating,8893,1.97e-32,9.915e-01,4137,8.684e-01,351,0.50169,62.0629,0.91195,1.26e-10,-0.02,saturated,True,0.286,0.0000,0.4804,0.2170,0.0890,1.0e+00,3.8e-12
mp_N8,8,mp,make_parent_equimodular_3stage,1.281585,6.608e-10,True,0.597,1.343e-03,0.00269,inflating,26773,3.51e-32,9.979e-01,22281,9.785e-01,20440,0.00272,1.0142,0.99963,8.43e-10,19.74,saturated,True,0.250,0.0001,0.4844,0.2095,0.0000,1.0e+00,5.7e-12
hm_N8,8,hm,handmade_equimodular_1factor,1.281585,2.366e-16,True,0.592,1.338e-03,0.00267,inflating,26888,1.97e-33,9.989e-01,29112,9.920e-01,25595,0.00268,1.0023,0.99999,1.92e-07,25.18,saturated,True,0.250,0.0008,0.4844,0.2087,0.0000,1.0e+00,4.4e-12
