k_star_1,k_star_2,k_star_3,k_star_4,k_sat_01,k_sat_02,k_sat_03,k_sat_12,k_sat_13,k_sat_23,rank,sum_k
2,3,3,3,1,1,1,1,1,1,4,17
2,3,3,4,1,1,1,1,1,1,4,18
3,3,3,3,1,1,1,1,1,1,4,18
1,4,4,4,1,1,1,1,1,1,4,19
2,3,4,4,1,1,1,1,1,1,4,19
3,3,3,4,1,1,1,1,1,1,4,19
2,4,4,4,1,1,1,1,1,1,4,20
3,3,3,5,1,1,1,1,1,1,4,20
3,3,4,4,1,1,1,1,1,1,4,20
2,4,4,5,1,1,1,1,1,1,4,21
3,3,4,5,1,1,1,1,1,1,4,21
3,4,4,4,1,1,1,1,1,1,4,21
2,4,5,5,1,1,1,1,1,1,4,22
3,3,5,5,1,1,1,1,1,1,4,22
3,4,4,5,1,1,1,1,1,1,4,22
4,4,4,4,1,1,1,1,1,1,4,22
2,5,5,5,1,1,1,1,1,1,4,23
3,4,4,6,1,1,1,1,1,1,4,23
3,4,5,5,1,1,1,1,1,1,4,23
4,4,4,5,1,1,1,1,1,1,4,23
2,3,3,7,1,1,2,1,2,2,4,24
3,3,3,6,1,1,2,1,2,2,4,24
3,4,5,6,1,1,1,1,1,1,4,24
3,5,5,5,1,1,1,1,1,1,4,24
4,4,4,6,1,1,1,1,1,1,4,24
4,4,5,5,1,1,1,1,1,1,4,24
1,4,4,7,1,1,2,1,2,2,4,25
2,3,3,8,1,1,2,1,2,2,4,25
2,3,4,7,1,1,2,1,2,2,4,25
2,4,4,6,1,1,2,1,2,2,4,25
3,3,3,7,1,1,2,1,2,2,4,25
3,3,4,6,1,1,2,1,2,2,4,25
3,4,4,5,1,1,2,1,2,2,4,25
3,5,5,6,1,1,1,1,1,1,4,25
4,4,5,6,1,1,1,1,1,1,4,25
4,5,5,5,1,1,1,1,1,1,4,25
1,4,4,8,1,1,2,1,2,2,4,26
2,3,4,8,1,1,2,1,2,2,4,26
2,4,4,7,1,1,2,1,2,2,4,26
3,3,3,8,1,1,2,1,2,2,4,26
3,3,4,7,1,1,2,1,2,2,4,26
3,4,4,6,1,1,2,1,2,2,4,26
3,5,6,6,1,1,1,1,1,1,4,26
4,4,4,5,1,1,2,1,2,2,4,26
4,4,6,6,1,1,1,1,1,1,4,26
4,5,5,6,1,1,1,1,1,1,4,26
5,5,5,5,1,1,1,1,1,1,4,26
2,3,4,9,1,1,2,1,2,2,4,27
2,4,4,8,1,1,2,1,2,2,4,27
2,4,5,7,1,1,2,1,2,2,4,27
3,3,3,9,1,1,2,1,2,2,4,27
3,3,4,8,1,1,2,1,2,2,4,27
3,3,5,7,1,1,2,1,2,2,4,27
3,4,4,7,1,1,2,1,2,2,4,27
3,4,5,6,1,1,2,1,2,2,4,27
3,6,6,6,1,1,1,1,1,1,4,27
4,4,4,6,1,1,2,1,2,2,4,27
4,4,5,5,1,1,2,1,2,2,4,27
4,4,5,5,2,1,1,2,2,1,4,27
4,5,5,7,1,1,1,1,1,1,4,27
4,5,6,6,1,1,1,1,1,1,4,27
5,5,5,6,1,1,1,1,1,1,4,27
2,4,4,9,1,1,2,1,2,2,4,28
2,4,5,8,1,1,2,1,2,2,4,28
2,4,6,6,1,2,2,2,2,1,4,28
2,5,5,7,1,1,2,1,2,2,4,28
3,3,4,9,1,1,2,1,2,2,4,28
3,3,5,8,1,1,2,1,2,2,4,28
3,3,6,6,1,2,2,2,2,1,4,28
3,4,4,8,1,1,2,1,2,2,4,28
3,4,5,7,1,1,2,1,2,2,4,28
3,5,5,6,1,1,2,1,2,2,4,28
4,4,4,7,1,1,2,1,2,2,4,28
4,4,5,5,1,2,2,2,2,1,4,28
4,4,5,5,2,1,2,2,1,2,4,28
4,4,5,6,1,1,2,1,2,2,4,28
4,5,5,5,1,1,2,1,2,2,4,28
4,5,5,5,2,2,2,1,1,1,4,28
4,5,6,7,1,1,1,1,1,1,4,28
4,6,6,6,1,1,1,1,1,1,4,28
5,5,5,7,1,1,1,1,1,1,4,28
5,5,6,6,1,1,1,1,1,1,4,28
1,4,7,7,1,2,2,2,2,1,4,29
2,3,7,7,1,2,2,2,2,1,4,29
2,4,5,9,1,1,2,1,2,2,4,29
2,5,5,8,1,1,2,1,2,2,4,29
2,6,6,6,2,2,2,1,1,1,4,29
3,3,5,9,1,1,2,1,2,2,4,29
3,3,6,6,1,2,2,2,2,2,4,29
3,3,6,7,1,2,2,2,2,1,4,29
3,4,4,9,1,1,2,1,2,2,4,29
3,4,5,8,1,1,2,1,2,2,4,29
3,4,6,6,1,2,2,2,2,1,4,29
3,4,6,7,1,1,2,1,2,2,4,29
3,5,5,7,1,1,2,1,2,2,4,29
4,4,4,8,1,1,2,1,2,2,4,29
4,4,5,5,1,2,2,2,2,2,4,29
4,4,5,6,1,2,2,2,2,1,4,29
4,4,5,7,1,1,2,1,2,2,4,29
4,4,6,6,1,1,2,1,2,2,4,29
4,5,5,5,1,2,2,2,2,1,4,29
4,5,5,6,1,1,2,1,2,2,4,29
4,5,5,6,1,2,1,2,1,2,4,29
4,5,5,6,2,2,2,1,1,1,4,29
4,5,7,7,1,1,1,1,1,1,4,29
4,6,6,7,1,1,1,1,1,1,4,29
5,5,5,5,1,1,2,1,2,2,4,29
5,5,6,7,1,1,1,1,1,1,4,29
5,6,6,6,1,1,1,1,1,1,4,29
2,3,7,7,1,2,2,2,2,2,4,30
2,4,6,7,1,2,2,2,2,2,4,30
2,4,7,7,1,2,2,2,2,1,4,30
2,5,5,9,1,1,2,1,2,2,4,30
3,3,6,7,1,2,2,2,2,2,4,30
3,3,7,7,1,2,2,2,2,1,4,30
3,4,4,10,1,1,2,1,2,2,4,30
3,4,5,7,1,2,2,2,2,2,4,30
3,4,5,9,1,1,2,1,2,2,4,30
3,4,6,6,1,2,2,2,2,2,4,30
3,4,6,7,1,2,2,2,2,1,4,30
3,4,6,8,1,1,2,1,2,2,4,30
3,5,5,8,1,1,2,1,2,2,4,30
3,5,6,6,1,2,2,2,2,1,4,30
3,5,6,7,1,1,2,1,2,2,4,30
3,6,6,6,2,2,2,1,1,1,4,30
4,4,4,9,1,1,2,1,2,2,4,30
4,4,5,6,1,2,2,2,2,2,4,30
4,4,5,8,1,1,2,1,2,2,4,30
4,4,6,6,1,2,2,2,2,1,4,30
4,4,6,7,1,1,2,1,2,2,4,30
4,5,5,5,1,2,2,2,2,2,4,30
4,5,5,5,2,2,2,1,2,2,4,30
4,5,5,6,1,2,2,2,2,1,4,30
4,5,5,6,2,2,1,1,2,2,4,30
4,5,5,7,1,1,2,1,2,2,4,30
4,5,6,6,1,1,2,1,2,2,4,30
4,5,6,6,2,1,1,2,2,1,4,30
4,5,6,6,2,2,2,1,1,1,4,30
4,6,7,7,1,1,1,1,1,1,4,30
5,5,5,5,1,2,2,2,2,1,4,30
5,5,5,6,1,1,2,1,2,2,4,30
5,5,5,6,1,2,1,2,1,2,4,30
5,5,7,7,1,1,1,1,1,1,4,30
5,6,6,7,1,1,1,1,1,1,4,30
6,6,6,6,1,1,1,1,1,1,4,30
1,4,8,8,1,2,2,2,2,1,4,31
1,7,7,7,2,2,2,1,1,1,4,31
2,3,3,11,1,1,3,1,3,3,4,31
2,3,7,7,1,2,2,2,2,3,4,31
2,3,7,8,1,2,2,2,2,2,4,31
2,3,8,8,1,2,2,2,2,1,4,31
2,4,7,7,1,2,2,2,2,2,4,31
2,5,7,7,1,2,2,2,2,1,4,31
3,3,3,10,1,1,3,1,3,3,4,31
3,3,6,7,1,2,2,2,2,3,4,31
3,3,6,8,1,2,2,2,2,2,4,31
3,3,7,7,1,2,2,2,2,2,4,31
3,3,7,8,1,2,2,2,2,1,4,31
3,4,5,10,1,1,2,1,2,2,4,31
3,4,6,7,1,2,2,2,2,2,4,31
3,4,6,9,1,1,2,1,2,2,4,31
3,4,7,7,1,2,2,2,2,1,4,31
3,5,5,9,1,1,2,1,2,2,4,31
3,5,6,6,1,2,2,2,2,2,4,31
3,5,6,7,1,2,2,2,2,1,4,31
3,5,6,8,1,1,2,1,2,2,4,31
3,6,6,7,1,1,2,1,2,2,4,31
3,6,6,7,2,2,2,1,1,1,4,31
4,4,4,10,1,1,2,1,2,2,4,31
4,4,5,7,1,2,2,2,2,2,4,31
