tag,N,method,norm,amp_spread_rel,global_closure_abs_sum_z2_over_H,local_closure_max_over_H,residual,mu
mp_N11,11,mp,1.561155151,2.068e-10,2.192e-14,1.376e-12,2.048e-12,-0.443128255
hm_N11,11,hm,1.561155151,3.132e-16,1.054e-16,2.433e-17,6.332e-17,-0.443128255
ne_N11,11,ne,1.561155151,1.085e+00,1.244e-16,3.008e-17,1.232e-16,-0.443128255
rb_N11,11,rb,1.561155151,3.007e+00,3.416e-17,1.761e-17,8.251e-17,-0.443128255
mp_N12,12,mp,1.627072474,2.049e-10,3.132e-14,3.690e-12,8.147e-12,-0.441227472
hm_N12,12,hm,1.627072474,1.038e-15,8.375e-17,1.724e-17,1.048e-16,-0.441227472
ne_N12,12,ne,1.627072474,1.176e+00,5.845e-17,1.112e-17,5.707e-17,-0.441227472
rb_N12,12,rb,1.627072474,2.428e+00,1.890e-17,2.228e-17,4.920e-17,-0.441227472
mp_N13,13,mp,1.710335619,5.599e-10,1.495e-14,1.109e-11,1.447e-11,-0.450038143
hm_N13,13,hm,1.710335619,3.700e-16,1.157e-16,2.278e-17,5.679e-17,-0.450038143
ne_N13,13,ne,1.710335619,9.000e-01,1.567e-16,2.797e-17,6.680e-17,-0.450038143
rb_N13,13,rb,1.710335619,3.008e+00,2.055e-17,1.560e-17,1.672e-16,-0.450038143
mp_N14,14,mp,1.770758916,2.667e-12,2.066e-14,2.946e-14,4.676e-14,-0.447941020
hm_N14,14,hm,1.770758916,4.028e-16,3.769e-17,6.639e-18,7.547e-17,-0.447941020
ne_N14,14,ne,1.770758916,1.183e+00,2.590e-17,6.259e-18,4.317e-17,-0.447941020
rb_N14,14,rb,1.770758916,3.043e+00,2.257e-17,1.525e-17,9.980e-17,-0.447941020
mp_N15,15,mp,1.832826444,6.556e-10,2.141e-15,1.018e-11,1.332e-11,-0.447900370
hm_N15,15,hm,1.832826444,8.676e-16,5.619e-17,1.053e-17,5.446e-17,-0.447900370
ne_N15,15,ne,1.832826444,1.141e+00,1.132e-16,1.848e-17,5.532e-17,-0.447900370
rb_N15,15,rb,1.832826444,2.863e+00,2.337e-17,1.168e-17,7.528e-17,-0.447900370
mp_N16,16,mp,1.909731392,3.118e-11,1.706e-15,2.866e-13,9.384e-13,-0.455884249
hm_N16,16,hm,1.909731392,5.708e-16,5.926e-17,9.235e-18,1.192e-16,-0.455884249
ne_N16,16,ne,1.909731392,1.187e+00,1.140e-16,1.777e-17,1.026e-16,-0.455884249
rb_N16,16,rb,1.909731392,3.967e+00,3.493e-17,1.359e-17,6.821e-17,-0.455884249
