N= 3 M=  3 σ²=[2.0, 0.0] | unstable dims=1 |μ|=[1.039148] angle/Δφ=[0.0] | neutral angle/Δφ=[0.0, 2.0] | Σln|μ|=-0.0027 | defect=2.6e-14 | 0.0s
N= 4 M=  6 σ²=[8.0, 0.0] | unstable dims=1 |μ|=[1.077098] angle/Δφ=[0.0] | neutral angle/Δφ=[0.0, 1.0, 2.0] | Σln|μ|=-0.0216 | defect=3.4e-14 | 0.0s
N= 5 M= 10 σ²=[14.0, 2.0, 2.0] | unstable dims=4 |μ|=[1.090087, 1.090087, 1.052603, 1.052603] angle/Δφ=[0.0, 0.0, 0.0, 0.0] | neutral angle/Δφ=[0.0, 1.0, 2.0] | Σln|μ|=-0.0855 | defect=9.3e-15 | 0.0s
N= 6 M= 15 σ²=[23.700462, 3.522953, 3.0] | unstable dims=5 |μ|=[1.097927, 1.088554, 1.087736, 1.069986] angle/Δφ=[0.0, 0.0, 0.0, 0.0] | neutral angle/Δφ=[0.0, 2.0] | Σln|μ|=-0.2238 | defect=3.0e-14 | 0.1s
N= 7 M= 21 σ²=[35.270483, 5.836076, 5.574892] | unstable dims=8 |μ|=[1.099476, 1.096825, 1.091486, 1.023662] angle/Δφ=[0.0, 0.0, 0.0, 0.0] | neutral angle/Δφ=[0.0, 2.0] | Σln|μ|=-0.4864 | defect=5.8e-15 | 0.0s
N= 8 M= 28 σ²=[47.663783, 8.820801, 8.0] | unstable dims=12 |μ|=[1.12157, 1.113148, 1.110102, 1.09586] angle/Δφ=[0.0, 0.0, 0.0, 0.0] | neutral angle/Δφ=[0.0, 2.0] | Σln|μ|=-0.9475 | defect=1.9e-14 | 0.0s
N= 9 M= 36 σ²=[61.655989, 12.0, 11.831508] | unstable dims=17 |μ|=[1.176652, 1.175188, 1.124358, 1.124221] angle/Δφ=[0.0, 0.0, 0.0, 0.0] | neutral angle/Δφ=[0.0, 2.0] | Σln|μ|=-1.6797 | defect=2.2e-14 | 0.0s
N=10 M= 45 σ²=[79.704615, 15.849853, 15.67043] | unstable dims=22 |μ|=[1.122233, 1.120351, 1.120301, 1.119478] angle/Δφ=[0.0, 0.0, 0.0, 0.0] | neutral angle/Δφ=[0.0, 2.0] | Σln|μ|=-2.7157 | defect=7.0e-15 | 0.0s
N=11 M= 55 σ²=[97.702366, 20.032492, 19.883844] | unstable dims=23 |μ|=[1.195446, 1.187756, 1.174113, 1.171198] angle/Δφ=[0.0, 0.0, 0.0, 0.0] | neutral angle/Δφ=[0.0, 2.0] | Σln|μ|=-4.2354 | defect=3.1e-14 | 0.2s
N=12 M= 66 σ²=[118.815945, 24.810169, 24.679267] | unstable dims=30 |μ|=[1.191729, 1.187395, 1.165075, 1.135886] angle/Δφ=[0.0, 0.0, 0.0, 0.0] | neutral angle/Δφ=[0.0, 2.0] | Σln|μ|=-6.2615 | defect=3.6e-15 | 0.0s
N=13 M= 78 σ²=[142.424014, 30.245931, 30.201466] | unstable dims=34 |μ|=[1.194419, 1.193138, 1.168876, 1.12978] angle/Δφ=[0.0, 0.0, 0.0, 0.0] | neutral angle/Δφ=[0.0, 2.0] | Σln|μ|=-8.9319 | defect=4.0e-14 | 0.0s
N=14 M= 91 σ²=[166.205768, 35.926658, 35.743463] | unstable dims=43 |μ|=[1.258947, 1.200435, 1.195435, 1.19122] angle/Δφ=[0.0, 0.0, 0.0, 0.0] | neutral angle/Δφ=[0.0, 2.0] | Σln|μ|=-12.4635 | defect=1.9e-14 | 0.0s
N=15 M=105 σ²=[190.727447, 42.051382, 41.951944] | unstable dims=53 |μ|=[1.268893, 1.26625, 1.263878, 1.234538] angle/Δφ=[0.0, 0.0, 0.0, 0.0] | neutral angle/Δφ=[0.0, 2.0] | Σln|μ|=-17.0168 | defect=1.8e-14 | 0.1s
N=16 M=120 σ²=[219.051465, 48.995427, 48.92415] | unstable dims=64 |μ|=[1.277177, 1.272955, 1.266257, 1.263987] angle/Δφ=[0.0, 0.0, 0.0, 0.0] | neutral angle/Δφ=[0.0, 2.0] | Σln|μ|=-22.5811 | defect=1.2e-14 | 0.1s
DONE
